Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,GolemRock,1115,20,14,6,70.0%,70,37,33,▲ 5,+69
2,ImpactDrake,1105,21,15,6,71.4%,81,46,35,▼ 1,+6
3,FoxBrush,1081,18,13,5,72.2%,64,40,24,▼ 1,-13
4,TuskMammoth,1070,24,17,7,70.8%,85,68,17,▲ 1,+12
5,CobaltDragoon,1054,14,9,5,64.3%,51,33,18,▲ 4,+17
6,ScorpioSpear,1045,13,8,5,61.5%,43,32,11,▲ 4,+16
7,DranSword,1044,15,10,5,66.7%,49,41,8,▼ 4,-33
8,LeonCrest,1043,12,7,5,58.3%,41,35,6,▼ 4,-30
9,DranBrave,1041,16,9,7,56.2%,49,42,7,▲ 7,+35
10,PhoenixWing,1030,14,8,6,57.1%,47,44,3,▲ 12,+35
11,ViperTail,1029,12,7,5,58.3%,39,31,8,▼ 3,-10
12,SharkScale,1027,5,3,2,60.0%,18,12,6,→ 0,+27
13,CerberusFlame,1025,17,10,7,58.8%,46,43,3,▲ 1,+13
14,DranDagger,1019,12,7,5,58.3%,33,31,2,▼ 2,0
15,WeissTiger,1016,9,5,4,55.6%,26,20,6,▼ 8,-25
16,HellsReaper,1015,12,6,6,50.0%,36,31,5,▼ 1,+4
17,SolEclipse,1008,8,4,4,50.0%,28,25,3,→ 0,+8
18,RhinoReaper,1004,12,6,6,50.0%,39,41,-2,▼ 5,-15
19,CrimsonGaruda,1003,12,6,6,50.0%,31,34,-3,▲ 10,+42
20,PerseusDark,999,11,5,6,45.5%,30,32,-2,▲ 1,+4
21,HellsChain,999,12,5,7,41.7%,37,35,2,▲ 5,+23
22,SharkEdge,997,14,7,7,50.0%,39,43,-4,▼ 11,-31
23,UnicornSting,994,12,6,6,50.0%,31,32,-1,▼ 4,-7
24,KnightMail,993,13,6,7,46.2%,37,36,1,▼ 7,-11
25,WizardRod,992,11,5,6,45.5%,32,35,-3,▼ 5,-6
26,WhaleWave,988,11,5,6,45.5%,28,35,-7,▼ 1,+8
27,LeonClaw,983,10,4,6,40.0%,26,33,-7,▼ 9,-17
28,SilverWolf,971,9,3,6,33.3%,23,29,-6,▼ 5,-13
29,DranBuster,967,10,3,7,30.0%,24,33,-9,▼ 5,-16
30,CobaltDrake,955,5,1,4,20.0%,11,21,-10,→ 0,-45
31,PhoenixRudder,951,9,3,6,33.3%,17,31,-14,▼ 1,0
32,WhaleFlame,949,5,1,4,20.0%,8,19,-11,▼ 5,-14
33,TyrannoBeat,931,9,2,7,22.2%,18,33,-15,▼ 5,-29
34,WizardArc,930,7,1,6,14.3%,17,30,-13,▼ 2,-10
35,PegasusBlast,928,6,1,5,16.7%,11,24,-13,▼ 2,+1
36,BlackShell,926,9,2,7,22.2%,11,32,-21,▼ 5,-24
37,HellsHammer,899,5,0,5,0.0%,6,23,-17,▼ 2,0
38,WizardArrow,894,6,0,6,0.0%,7,24,-17,▼ 4,-20
39,SamuraiSaber,871,8,0,8,0.0%,9,32,-23,▼ 3,-21
