k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
32,12,15,3.0,14,0.18,2.6,0.6733739925718789,0.24041039132798092
32,12,10,3.0,14,0.15,2.2,0.6733778787412071,0.24037358237831782
40,12,20,2.5,10,0.18,2.6,0.6733841414018954,0.24046489233913518
40,12,10,1.5,10,0.22,1.8,0.6733843222420467,0.240364358429658
40,12,10,1.5,14,0.18,2.6,0.6733847660909418,0.24038062033268565
36,12,20,3.0,14,0.22,1.8,0.6733895035133497,0.2404946520944253
40,12,10,2.0,6,0.15,2.2,0.673389723772911,0.2403311580474619
32,12,10,3.0,6,0.22,2.6,0.6733906274179815,0.24036346590807556
40,20,10,3.0,14,0.22,2.2,0.6733907638717037,0.24055043502766316
36,12,15,2.5,14,0.15,2.6,0.6733918668981934,0.24042300807395398
36,12,20,3.0,10,0.18,2.6,0.673392860903607,0.24044796935315757
40,12,20,2.5,14,0.22,1.8,0.6733980186332542,0.24051941712279357
