FixtureID,Date,BeyA,BeyB,MatchType,SeasonID,Tier,Matchday
F0001,2026-02-15,CobaltDragoon,DranSword,season,S1,1,1
F0002,2026-02-15,FoxBrush,LeonCrest,season,S1,1,1
