MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB
M0031,2025-09-07,ImpactDrake,FoxBrush,7,0,1081.02,1099.56,1116.52,1058.79,Xtreme,Xtreme,exhibition,,,,29.0997,29.0997,51.1691,58.7639,0.4733,0.5267,1.1672,-0.1672
M0032,2025-11-12,WeissTiger,ImpactDrake,3,4,994.81,1116.52,986.31,1125.29,Xtreme,Xtreme,exhibition,,,,30.4774,28.4608,51.6515,53.302,0.3317,0.6683,0.1672,0.8328
M0033,2025-11-12,CobaltDragoon,WizardArc,5,3,993.85,988.61,1013.3,969.99,Xtreme,Xtreme,exhibition,,,,30.4774,31.2197,55.8309,53.4425,0.5075,0.4925,0.8559,0.1441
M0034,2025-11-12,HellsChain,PhoenixWing,6,3,988.61,1005.39,1011.81,987.54,Xtreme,Xtreme,exhibition,,,,31.2197,29.7713,53.4425,41.1345,0.4759,0.5241,0.9099,0.0901
M0035,2025-11-12,UnicornSting,WizardRod,5,2,1015.95,1029.48,1036.86,1011.66,Xtreme,Xtreme,exhibition,,,,29.7713,29.0997,48.7012,41.491,0.4805,0.5195,0.9099,0.0901
M0036,2025-11-12,PhoenixRudder,SilverWolf,1,4,1011.04,989.35,992.03,1012.29,Xtreme,Xtreme,exhibition,,,,29.7713,31.2197,43.115,51.9998,0.5312,0.4688,0.0901,0.9099
M0037,2025-11-12,LeonCrest,GolemRock,2,4,989.35,984.3,970.47,1002.38,Xtreme,Xtreme,exhibition,,,,31.2197,30.4774,51.9998,49.7868,0.5073,0.4927,0.1441,0.8559
M0038,2025-11-12,CerberusFlame,TyrannoBeat,4,1,1000,990.06,1012.66,972.73,Xtreme,Xtreme,exhibition,,,,32.0,30.4774,32.0,43.804,0.5143,0.4857,0.9099,0.0901
M0039,2025-11-12,PerseusDark,KnightMail,0,5,993.85,1000,961.4,1018.6,Xtreme,Xtreme,exhibition,,,,30.4774,32.0,55.8309,32.0,0.4912,0.5088,-0.0901,1.0901
M0040,2025-11-12,DranSword,BlackShell,1,4,1033.83,984.0,1013.45,1014.04,Xtreme,Xtreme,exhibition,,,,29.0997,31.2197,42.3577,62.4393,0.5712,0.4288,0.0901,0.9099
M0041,2025-11-12,FoxBrush,PegasusBlast,4,0,1058.79,1000,1077.52,986.68,Xtreme,Xtreme,exhibition,,,,28.4608,32.0,45.0178,32.0,0.5838,0.4162,1.0,0.0
M0042,2025-11-12,DranBrave,ViperTail,0,4,992.31,989.48,970.0,1011.5,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,44.2712,43.6845,0.5041,0.4959,0.0,1.0
M0043,2025-11-12,HellsReaper,ScorpioSpear,2,4,988.61,988.61,969.59,1007.63,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,53.4425,53.4425,0.5,0.5,0.1441,0.8559
M0044,2025-11-12,WhaleWave,WhaleFlame,4,2,981.12,1000,1007.19,987.74,Xtreme,Xtreme,exhibition,,,,31.2197,32.0,68.0647,32.0,0.4729,0.5271,0.8559,0.1441
M0045,2025-11-12,DranBuster,SamuraiSaber,4,0,981.12,988.61,1015.88,961.31,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,68.0647,53.4425,0.4892,0.5108,1.0,0.0
M0046,2025-11-12,WizardArrow,RhinoReaper,3,4,989.35,984.0,971.64,1005.26,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,51.9998,62.4393,0.5077,0.4923,0.1672,0.8328
M0047,2025-11-12,SharkEdge,CrimsonGaruda,4,1,981.12,984.0,1009.3,958.15,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,68.0647,62.4393,0.4959,0.5041,0.9099,0.0901
M0048,2025-11-12,LeonClaw,ImpactDrake,2,4,984.0,1125.29,973.82,1133.35,Xtreme,Xtreme,exhibition,,,,31.2197,27.8531,62.4393,49.4095,0.3072,0.6928,0.1441,0.8559
M0049,2025-11-12,HellsHammer,CobaltDragoon,0,5,989.35,1013.3,960.45,1043.2,Xtreme,Xtreme,exhibition,,,,31.2197,29.7713,51.9998,53.8059,0.4656,0.5344,-0.0901,1.0901
M0050,2025-11-12,TuskMammoth,HellsChain,5,3,1007.2,1011.81,1022.51,996.07,Xtreme,Xtreme,exhibition,,,,29.7713,30.4774,42.2339,43.417,0.4934,0.5066,0.8559,0.1441
M0051,2025-11-12,DranDagger,UnicornSting,5,0,990.41,1036.86,1023.8,1004.83,Xtreme,Xtreme,exhibition,,,,30.4774,29.0997,50.8706,48.7818,0.4335,0.5665,1.0901,-0.0901
M0052,2025-11-12,GolemRock,CerberusFlame,1,4,1002.38,1012.66,982.97,1034.75,Xtreme,Xtreme,exhibition,,,,29.7713,31.2197,49.1357,55.9209,0.4852,0.5148,0.0901,0.9099
M0053,2025-11-12,BlackShell,FoxBrush,0,4,1014.04,1077.52,993.53,1096.09,Xtreme,Xtreme,exhibition,,,,30.4774,27.8531,50.0812,45.3259,0.4096,0.5904,0.0,1.0
M0054,2025-11-12,ScorpioSpear,WhaleWave,4,1,1007.63,1007.19,1025.76,984.41,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,44.2829,55.6613,0.5006,0.4994,0.9099,0.0901
M0055,2025-11-12,RhinoReaper,SharkEdge,4,2,1005.26,1009.3,1023.94,989.29,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,51.6397,55.3178,0.4942,0.5058,0.8559,0.1441
M0056,2025-11-12,ImpactDrake,SilverWolf,2,4,1133.35,1012.29,1109.19,1034.37,Xtreme,Xtreme,exhibition,,,,27.275,30.4774,46.1636,42.1867,0.6675,0.3325,0.1441,0.8559
M0057,2025-11-12,CobaltDragoon,KnightMail,3,5,1043.2,1018.6,1021.99,1045.01,Xtreme,Xtreme,exhibition,,,,29.0997,31.2197,54.2008,67.5123,0.5353,0.4647,0.1441,0.8559
M0058,2025-11-12,TuskMammoth,ViperTail,5,1,1022.51,1011.5,1043.28,989.34,Xtreme,Xtreme,exhibition,,,,29.0997,29.7713,42.9027,45.7839,0.5158,0.4842,1.0,0.0
M0059,2025-11-12,DranDagger,DranBuster,4,2,1023.8,1015.88,1042.13,997.19,Xtreme,Xtreme,exhibition,,,,29.7713,30.4774,53.1779,54.2458,0.5114,0.4886,0.8559,0.1441
