Date,Bey,ELO,match_id,MatchIndex
2026-01-30,CobaltDragoon,1000.0,0,0
2026-01-30,CobaltDragoon,980.0,229,1
2026-02-11,CobaltDragoon,1015.86,310,2
2026-01-30,CobaltDrake,1000.0,0,0
2026-01-30,CobaltDrake,1023.6,230,1
2026-01-30,CobaltDrake,968.7,235,2
2026-02-11,CobaltDrake,948.28,311,3
2026-02-13,CobaltDrake,981.68,313,4
2026-02-13,CobaltDrake,965.69,316,5
2026-02-13,CobaltDrake,983.79,318,6
2026-01-30,CrimsonGaruda,1000.0,0,0
2026-01-30,CrimsonGaruda,1020.0,244,1
2026-01-30,CrimsonGaruda,971.97,250,2
2026-01-30,DranBrave,1000.0,0,0
2026-01-30,DranBrave,980.0,226,1
2026-01-30,DranBuster,1000.0,0,0
2026-01-30,DranBuster,980.0,230,1
2026-01-30,DranDagger,1000.0,0,0
2026-01-30,DranDagger,980.0,225,1
2026-01-30,DranDagger,1019.79,242,2
2026-01-30,DranDagger,1033.56,249,3
2026-01-30,DranDagger,1013.16,253,4
2026-01-30,DranDagger,993.03,255,5
2026-01-30,DranSword,1000.0,0,0
2026-01-30,DranSword,980.0,228,1
2026-01-30,DranSword,931.46,242,2
2026-02-11,EmperorMight,1000.0,0,0
2026-02-11,EmperorMight,1014.24,309,1
2026-01-30,FoxBrush,1000.0,0,0
2026-01-30,FoxBrush,980.0,231,1
2026-01-30,GolemRock,1000.0,0,0
2026-01-30,GolemRock,980.0,247,1
2026-01-30,HellsChain,1000.0,0,0
2026-01-30,HellsChain,1020.0,248,1
2026-01-30,HellsChain,971.97,252,2
2026-01-30,ImpactDrake,1000.0,0,0
2026-01-30,ImpactDrake,980.0,227,1
2026-02-11,ImpactDrake,1018.21,311,2
2026-01-30,LeonClaw,1000.0,0,0
2026-01-30,LeonClaw,980.0,246,1
2026-02-13,LeonClaw,940.18,312,2
2026-01-30,LeonCrest,1000.0,0,0
2026-01-30,LeonCrest,980.0,248,1
2026-02-13,LeonCrest,1026.86,315,2
2026-02-13,LeonCrest,1016.92,317,3
2026-02-13,LeonCrest,990.14,318,4
2026-01-30,PegasusBlast,1000.0,0,0
2026-01-30,PegasusBlast,1014.24,226,1
2026-01-30,PegasusBlast,975.17,233,2
2026-01-30,PerseusDark,1000.0,0,0
2026-01-30,PerseusDark,1018.36,245,1
2026-01-30,PerseusDark,972.43,251,2
2026-01-30,PhoenixWing,1000.0,0,0
2026-01-30,PhoenixWing,1016.4,229,1
2026-01-30,PhoenixWing,1052.78,235,2
2026-01-30,PhoenixWing,1013.42,238,3
2026-01-30,PhoenixWing,989.39,239,4
2026-02-11,PhoenixWing,969.5,310,5
2026-02-13,PhoenixWing,958.62,314,6
2026-01-30,SamuraiSaber,1000.0,0,0
2026-01-30,SamuraiSaber,1023.6,228,1
2026-01-30,SamuraiSaber,1076.83,234,2
2026-01-30,SamuraiSaber,1027.16,237,3
2026-01-30,SamuraiSaber,1055.03,239,4
2026-02-13,SamuraiSaber,1013.44,313,5
2026-01-30,ScorpioSpear,1000.0,0,0
2026-01-30,ScorpioSpear,1023.6,243,1
2026-01-30,ScorpioSpear,1067.14,250,2
2026-01-30,ScorpioSpear,1096.07,253,3
2026-01-30,ScorpioSpear,1144.56,256,4
2026-01-30,SharkEdge,1000.0,0,0
2026-01-30,SharkEdge,980.0,232,1
2026-01-30,SharkScale,1000.0,0,0
2026-01-30,SharkScale,1020.0,232,1
2026-01-30,SharkScale,1077.28,236,2
2026-01-30,SharkScale,1123.48,238,3
2026-01-30,SharkScale,1078.1,240,4
2026-01-30,SolEclipse,1000.0,0,0
2026-01-30,SolEclipse,980.0,243,1
2026-01-30,TuskMammoth,1000.0,0,0
2026-01-30,TuskMammoth,1020.0,227,1
2026-01-30,TuskMammoth,971.97,234,2
2026-01-30,TuskMammoth,995.93,241,3
2026-01-30,TuskMammoth,968.0,249,4
2026-02-13,TuskMammoth,948.6,315,5
2026-01-30,TyrannoBeat,1000.0,0,0
2026-01-30,TyrannoBeat,1020.0,231,1
2026-01-30,TyrannoBeat,971.46,236,2
2026-01-30,TyrannoBeat,954.15,245,3
2026-01-30,ValkyrieVolt,1000.0,0,0
2026-01-30,ValkyrieVolt,1023.6,225,1
2026-01-30,ValkyrieVolt,1075.94,233,2
2026-01-30,ValkyrieVolt,1134.26,237,3
2026-01-30,ValkyrieVolt,1181.65,240,4
2026-02-13,ValkyrieVolt,1211.27,314,5
2026-02-13,ValkyrieVolt,1225.64,317,6
2026-02-13,ValkyrieVolt,1256.53,319,7
2026-01-30,WeissTiger,1000.0,0,0
2026-01-30,WeissTiger,978.39,241,1
2026-01-30,WhaleWave,1000.0,0,0
2026-01-30,WhaleWave,1020.0,246,1
2026-01-30,WhaleWave,1052.08,251,2
2026-01-30,WhaleWave,1085.23,254,3
2026-01-30,WhaleWave,1045.78,256,4
2026-01-30,WizardArc,1000.0,0,0
2026-01-30,WizardArc,1023.6,247,1
2026-01-30,WizardArc,1076.83,252,2
2026-01-30,WizardArc,1023.76,254,3
2026-01-30,WizardArc,1043.11,255,4
2026-02-13,WizardArc,1067.49,312,5
2026-02-13,WizardArc,1081.99,316,6
2026-02-13,WizardArc,1063.83,319,7
2026-01-30,WizardArrow,1000.0,0,0
2026-01-30,WizardArrow,980.0,244,1
2026-02-11,WolfHunt,1000.0,0,0
2026-02-11,WolfHunt,980.0,309,1
