matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta
1,1,HellsChain,1,1,0,3,4,2,2,1000.0,0
1,2,UnicornSting,1,1,0,3,4,2,2,1000.0,0
1,3,LeonClaw,1,1,0,3,4,2,2,1000.0,0
1,4,SharkEdge,1,1,0,3,4,3,1,1000.0,0
1,5,SilverWolf,1,1,0,3,4,3,1,1000.0,0
1,6,WizardRod,1,0,1,0,3,4,-1,1000.0,0
1,7,WhaleWave,1,0,1,0,3,4,-1,1000.0,0
1,8,CrimsonGaruda,1,0,1,0,2,4,-2,1000.0,0
1,9,RhinoReaper,1,0,1,0,2,4,-2,1000.0,0
1,10,ValkyrieVolt,1,0,1,0,2,4,-2,1000.0,0
2,1,HellsChain,2,2,0,7,8,2,6,1000.0,0
2,2,LeonClaw,2,2,0,6,9,4,5,1000.0,1
2,3,ValkyrieVolt,2,1,1,4,6,4,2,1000.0,7
2,4,WizardRod,2,1,1,3,7,6,1,1000.0,2
2,5,RhinoReaper,2,1,1,3,6,6,0,1000.0,4
2,6,SilverWolf,2,1,1,3,6,7,-1,1000.0,-1
2,7,UnicornSting,2,1,1,3,4,6,-2,1000.0,-5
2,8,SharkEdge,2,1,1,3,4,7,-3,1000.0,-4
2,9,WhaleWave,2,0,2,0,5,8,-3,1000.0,-2
2,10,CrimsonGaruda,2,0,2,0,4,9,-5,1000.0,-2
3,1,LeonClaw,3,3,0,9,13,7,6,1000.0,1
3,2,ValkyrieVolt,3,2,1,8,10,4,6,1000.0,1
3,3,HellsChain,3,2,1,7,10,7,3,1000.0,-2
3,4,UnicornSting,3,2,1,7,8,6,2,1000.0,3
3,5,RhinoReaper,3,2,1,6,11,7,4,1000.0,0
3,6,SilverWolf,3,2,1,6,11,9,2,1000.0,0
3,7,WizardRod,3,1,2,3,8,11,-3,1000.0,-3
3,8,SharkEdge,3,1,2,3,7,11,-4,1000.0,0
3,9,WhaleWave,3,0,3,0,5,12,-7,1000.0,0
3,10,CrimsonGaruda,3,0,3,0,4,13,-9,1000.0,0
4,1,LeonClaw,4,4,0,13,17,7,10,1000.0,0
4,2,ValkyrieVolt,4,3,1,11,15,7,8,1000.0,0
4,3,HellsChain,4,3,1,11,14,7,7,1000.0,0
4,4,UnicornSting,4,2,2,7,8,10,-2,1000.0,0
4,5,RhinoReaper,4,2,2,6,14,12,2,1000.0,0
4,6,SharkEdge,4,2,2,6,11,12,-1,1000.0,2
4,7,SilverWolf,4,2,2,6,11,13,-2,1000.0,-1
4,8,CrimsonGaruda,4,1,3,4,8,13,-5,1000.0,2
4,9,WizardRod,4,1,3,3,8,15,-7,1000.0,-2
4,10,WhaleWave,4,0,4,0,6,16,-10,1000.0,-1
