Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1252,17,15,2,88.2%,79,25,54,→ 0,-30
2,SharkScale,1180,19,15,4,78.9%,79,34,45,→ 0,+22
3,ImpactDrake,1139,32,22,10,68.8%,120,71,49,→ 0,-2
4,ScorpioSpear,1110,26,17,9,65.4%,90,60,30,→ 0,-17
5,TyrannoRoar,1098,4,4,0,100.0%,18,5,13,→ 0,0
6,TuskMammoth,1094,42,27,15,64.3%,136,108,28,▲ 1,+4
7,FoxBrush,1091,28,18,10,64.3%,89,74,15,▲ 3,+20
8,GolemRock,1090,30,18,12,60.0%,92,71,21,▼ 2,-1
9,LeonCrest,1062,25,14,11,56.0%,75,67,8,→ 0,-9
10,WeissTiger,1061,19,11,8,57.9%,56,44,12,▲ 6,+19
11,CobaltDragoon,1060,25,14,11,56.0%,78,66,12,▼ 3,-20
12,HellsBrave,1059,3,2,1,66.7%,12,6,6,→ 0,0
13,ViperTail,1058,21,11,10,52.4%,65,55,10,▲ 6,+30
14,DranBrave,1055,26,15,11,57.7%,79,67,12,▼ 1,-1
15,KnightMail,1044,22,12,10,54.5%,67,53,14,→ 0,+2
16,SilverWolf,1044,19,10,9,52.6%,58,52,6,▲ 8,+28
17,RhinoReaper,1042,21,10,11,47.6%,70,67,3,▼ 6,-19
18,DranSword,1042,26,14,12,53.8%,73,76,-3,▼ 1,+1
19,HellsChain,1036,23,12,11,52.2%,68,58,10,▲ 4,+19
20,CerberusFlame,1025,28,13,15,46.4%,71,81,-10,→ 0,-2
21,LeonClaw,1020,21,10,11,47.6%,56,63,-7,▲ 1,+2
22,SharkEdge,1015,25,12,13,48.0%,68,77,-9,▼ 4,-13
23,PerseusDark,1015,23,11,12,47.8%,62,65,-3,▼ 2,-3
24,HellsReaper,1015,21,10,11,47.6%,60,57,3,▲ 1,+2
25,WyvernHover,1014,10,5,5,50.0%,26,25,1,▼ 11,-37
26,UnicornSting,1006,21,10,11,47.6%,55,61,-6,→ 0,0
27,CrimsonGaruda,1001,23,10,13,43.5%,61,69,-8,▲ 4,+23
28,WizardArc,995,14,6,8,42.9%,44,47,-3,▼ 1,0
29,DranDagger,988,26,11,15,42.3%,70,88,-18,▼ 1,-2
30,ClockMirage,987,4,2,2,50.0%,8,13,-5,▼ 1,0
31,CobaltDrake,980,12,4,8,33.3%,33,41,-8,▼ 1,0
32,PhoenixWing,972,29,12,17,41.4%,68,97,-29,→ 0,0
33,WhaleWave,969,24,10,14,41.7%,58,82,-24,→ 0,0
34,WolfHunt,967,4,1,3,25.0%,6,13,-7,→ 0,0
35,DranBuster,952,11,3,8,27.3%,24,38,-14,→ 0,0
36,PhoenixRudder,948,9,3,6,33.3%,17,31,-14,▲ 1,0
37,WizardRod,932,21,7,14,33.3%,48,73,-25,▼ 1,-17
38,WhaleFlame,930,5,1,4,20.0%,8,19,-11,▲ 1,0
39,SolEclipse,923,19,6,13,31.6%,47,66,-19,▼ 1,-14
40,EmperorMight,923,5,1,4,20.0%,6,18,-12,→ 0,0
41,SamuraiSaber,914,13,3,10,23.1%,24,43,-19,→ 0,0
42,BlackShell,912,9,2,7,22.2%,11,32,-21,→ 0,0
43,TyrannoBeat,912,13,3,10,23.1%,22,46,-24,→ 0,0
44,PegasusBlast,909,8,2,6,25.0%,15,30,-15,→ 0,0
45,HellsHammer,869,5,0,5,0.0%,6,23,-17,→ 0,0
46,WizardArrow,846,7,0,7,0.0%,7,28,-21,→ 0,0
