Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1140,14,12,2,85.7%,58,23,35,▲ 1,+48
2,FoxBrush,1089,13,10,3,76.9%,49,26,23,▼ 1,-25
3,RhinoReaper,1061,8,6,2,75.0%,31,22,9,▲ 2,0
4,CerberusFlame,1060,8,6,2,75.0%,28,13,15,▼ 1,-7
5,TuskMammoth,1054,13,9,4,69.2%,46,34,12,▼ 1,-7
6,DranDagger,1041,9,6,3,66.7%,29,21,8,▲ 1,-3
7,CobaltDragoon,1041,8,5,3,62.5%,31,19,12,▼ 1,-19
8,DranSword,1036,7,5,2,71.4%,25,19,6,▲ 1,0
9,WeissTiger,1029,5,3,2,60.0%,18,9,9,▲ 1,0
10,ViperTail,1025,7,4,3,57.1%,23,19,4,▼ 2,-17
11,KnightMail,1022,9,5,4,55.6%,32,24,8,→ 0,-1
12,SharkEdge,1015,9,5,4,55.6%,29,28,1,▲ 9,+29
13,ScorpioSpear,1014,7,4,3,57.1%,21,20,1,▲ 2,+12
14,GolemRock,1007,6,3,3,50.0%,14,14,0,▼ 2,0
15,SilverWolf,1007,6,3,3,50.0%,16,16,0,▼ 2,0
16,LeonClaw,1005,4,2,2,50.0%,10,11,-1,▼ 2,0
17,PhoenixWing,993,8,4,4,50.0%,26,30,-4,→ 0,-4
18,HellsChain,991,5,2,3,40.0%,18,17,1,→ 0,0
19,PhoenixRudder,990,7,3,4,42.9%,17,22,-5,▼ 3,-8
20,DranBuster,987,5,2,3,40.0%,10,13,-3,→ 0,0
21,PerseusDark,986,5,2,3,40.0%,11,15,-4,▲ 1,0
22,WhaleFlame,983,3,1,2,33.3%,6,11,-5,▲ 1,0
23,UnicornSting,980,7,3,4,42.9%,18,22,-4,▲ 1,0
24,BlackShell,979,6,2,4,33.3%,9,18,-9,▼ 5,-9
25,WizardRod,978,7,3,4,42.9%,18,24,-6,▲ 1,0
26,DranBrave,977,7,2,5,28.6%,17,25,-8,▲ 5,+25
27,WhaleWave,976,5,2,3,40.0%,9,18,-9,→ 0,0
28,WizardArc,973,4,1,3,25.0%,9,15,-6,→ 0,0
29,CrimsonGaruda,973,4,1,3,25.0%,8,13,-5,→ 0,0
30,LeonCrest,968,5,1,4,20.0%,11,18,-7,▼ 5,-11
31,TyrannoBeat,959,5,1,4,20.0%,10,19,-9,▼ 1,0
32,PegasusBlast,944,3,0,3,0.0%,2,13,-11,→ 0,0
33,HellsReaper,938,4,0,4,0.0%,6,16,-10,→ 0,0
34,WizardArrow,934,4,0,4,0.0%,7,16,-9,→ 0,0
35,HellsHammer,918,4,0,4,0.0%,5,19,-14,▲ 1,0
36,SamuraiSaber,911,5,0,5,0.0%,5,20,-15,▼ 1,-13
