Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1230,15,14,1,93.3%,75,21,54,→ 0,+29
2,ScorpioSpear,1133,24,17,7,70.8%,86,52,34,→ 0,-17
3,ImpactDrake,1121,30,21,9,70.0%,113,66,47,→ 0,-10
4,SharkScale,1111,17,13,4,76.5%,70,33,37,▲ 1,+32
5,TyrannoRoar,1098,4,4,0,100.0%,18,5,13,→ 0,+98
6,GolemRock,1078,28,17,11,60.7%,86,64,22,▲ 1,+11
7,TuskMammoth,1071,40,26,14,65.0%,128,104,24,▼ 3,-47
8,LeonCrest,1062,23,13,10,56.5%,71,58,13,→ 0,+13
9,HellsBrave,1054,3,2,1,66.7%,12,6,6,→ 0,+54
10,CobaltDragoon,1054,23,14,9,60.9%,75,57,18,▼ 4,-18
11,FoxBrush,1052,26,16,10,61.5%,80,71,9,→ 0,+15
12,DranBrave,1043,24,14,10,58.3%,75,61,14,▲ 1,+32
13,DranSword,1029,24,13,11,54.2%,68,70,-2,▲ 8,+44
14,RhinoReaper,1028,19,10,9,52.6%,65,58,7,→ 0,+19
15,WyvernHover,1022,8,5,3,62.5%,24,17,7,→ 0,+17
16,WeissTiger,1017,17,9,8,52.9%,48,42,6,▼ 6,-26
17,KnightMail,1010,20,11,9,55.0%,61,49,12,▲ 7,+39
18,ViperTail,1005,19,9,10,47.4%,55,54,1,▲ 10,+51
19,PerseusDark,1004,21,10,11,47.6%,58,59,-1,▼ 10,-43
20,SilverWolf,1003,17,8,9,47.1%,50,50,0,▲ 7,+41
21,HellsChain,999,21,10,11,47.6%,60,55,5,▼ 9,-18
22,SharkEdge,996,23,12,11,52.2%,63,69,-6,▲ 10,+47
23,ClockMirage,989,4,2,2,50.0%,8,13,-5,→ 0,-11
24,CerberusFlame,983,26,12,14,46.2%,67,73,-6,▼ 8,-15
25,LeonClaw,978,19,9,10,47.4%,51,59,-8,▼ 8,-20
26,UnicornSting,976,19,9,10,47.4%,48,53,-5,▼ 6,-14
27,WolfHunt,972,4,1,3,25.0%,6,13,-7,▼ 9,-24
28,WizardArc,971,14,6,8,42.9%,44,47,-3,▼ 3,0
29,HellsReaper,965,19,9,10,47.4%,54,50,4,▼ 7,-11
30,CobaltDrake,944,12,4,8,33.3%,33,41,-8,▼ 1,-10
31,DranBuster,942,11,3,8,27.3%,24,38,-14,▲ 3,0
32,PhoenixRudder,939,9,3,6,33.3%,17,31,-14,▲ 3,0
33,PhoenixWing,938,27,11,16,40.7%,62,90,-28,▼ 2,-12
34,WhaleWave,932,22,9,13,40.9%,53,75,-22,▼ 1,-11
35,EmperorMight,930,5,1,4,20.0%,6,18,-12,▼ 16,-61
36,WhaleFlame,929,5,1,4,20.0%,8,19,-11,→ 0,0
37,DranDagger,929,24,10,14,41.7%,64,80,-16,▼ 14,-44
38,SolEclipse,927,17,6,11,35.3%,41,58,-17,▼ 12,-40
39,BlackShell,920,9,2,7,22.2%,11,32,-21,▼ 1,0
40,CrimsonGaruda,917,21,8,13,38.1%,52,67,-15,▼ 10,-36
41,WizardRod,894,19,7,12,36.8%,48,64,-16,▼ 4,-32
42,TyrannoBeat,891,13,3,10,23.1%,22,46,-24,▼ 3,-14
43,PegasusBlast,880,8,2,6,25.0%,15,30,-15,▼ 3,0
44,SamuraiSaber,873,13,3,10,23.1%,24,43,-19,▼ 3,0
45,HellsHammer,840,5,0,5,0.0%,6,23,-17,▼ 3,0
46,WizardArrow,789,7,0,7,0.0%,7,28,-21,▼ 3,0
