match_id,round_number,winner,finish_type,points_awarded,notes
M0200,3,SolEclipse,extreme,3,
M0201,1,CrimsonGaruda,pocket,2,
M0201,2,CrimsonGaruda,spin,1,
M0201,3,CrimsonGaruda,spin,1,
M0202,1,DranBrave,pocket,2,
M0202,2,HellsChain,spin,1,
M0202,3,DranBrave,burst,2,
M0203,1,GolemRock,pocket,2,
M0203,2,GolemRock,pocket,2,
M0204,1,ImpactDrake,burst,2,
M0204,2,CerberusFlame,spin,1,
M0204,3,CerberusFlame,spin,1,
M0204,4,CerberusFlame,pocket,2,
M0205,1,SolEclipse,spin,1,
M0205,2,CrimsonGaruda,pocket,2,
M0205,3,SolEclipse,spin,1,
M0205,4,SolEclipse,spin,1,
M0205,5,CrimsonGaruda,spin,1,
M0205,6,CrimsonGaruda,spin,1,
M0206,1,HellsChain,spin,1,
M0206,2,TuskMammoth,pocket,2,
M0206,3,HellsChain,spin,1,
M0206,4,HellsChain,spin,1,
M0206,5,TuskMammoth,pocket,2,
M0207,1,ImpactDrake,spin,1,
M0207,2,ImpactDrake,burst,2,
M0207,3,SolEclipse,extreme,3,
M0207,4,ImpactDrake,extreme,3,
M0208,1,TuskMammoth,burst,2,
M0208,2,ImpactDrake,extreme,3,
M0208,3,TuskMammoth,spin,1,
M0208,4,TuskMammoth,pocket,2,
M0209,1,GolemRock,extreme,3,
M0209,2,GolemRock,spin,1,
M0210,1,CrimsonGaruda,burst,2,
M0210,2,CrimsonGaruda,burst,2,
M0211,1,DranBrave,extreme,3,
M0211,2,CerberusFlame,spin,1,
M0211,3,DranBrave,pocket,2,
M0212,1,GolemRock,spin,1,
M0212,2,GolemRock,burst,2,
M0212,3,GolemRock,burst,2,
M0212,4,GolemRock,burst,2,
M0213,1,SharkScale,spin,1,
M0213,2,SharkScale,spin,1,
M0213,3,SharkScale,burst,2,
M0214,1,CobaltDragoon,spin,1,
M0214,2,CobaltDragoon,spin,1,
M0214,3,CobaltDrake,pocket,2,
M0214,4,CobaltDragoon,burst,2,
M0215,1,CobaltDragoon,extreme,3,
M0215,2,SharkScale,spin,1,
M0215,3,SharkScale,spin,1,
M0215,4,SharkScale,spin,1,
M0215,5,CobaltDragoon,pocket,2,
M0216,1,PhoenixWing,spin,1,
M0216,2,PhoenixWing,spin,1,
M0216,3,PhoenixWing,spin,1,
M0216,4,PhoenixWing,burst,2,
M0217,1,CobaltDrake,burst,2,
M0217,2,PegasusBlast,extreme,3,
M0217,3,CobaltDrake,burst,2,
M0218,1,SamuraiSaber,burst,2,
M0218,2,PegasusBlast,burst,2,
M0218,3,PegasusBlast,burst,2,
M0219,1,PhoenixWing,spin,1,
M0219,2,PhoenixWing,pocket,2,
M0219,3,PhoenixWing,pocket,2,
M0220,1,DranBuster,pocket,2,
M0220,2,GolemRock,spin,1,
M0220,3,DranBuster,spin,1,
M0220,4,GolemRock,pocket,2,
M0220,5,GolemRock,burst,2,
M0221,1,GolemRock,pocket,2,
M0221,2,GolemRock,spin,1,
M0221,3,GolemRock,pocket,2,
M0222,1,ScorpioSpear,spin,1,
M0222,2,ScorpioSpear,pocket,2,
M0222,3,ScorpioSpear,burst,2,
M0223,1,SolEclipse,burst,2,
M0223,2,SilverWolf,spin,1,
M0223,3,SilverWolf,spin,1,
M0223,4,SolEclipse,burst,2,
M0224,1,TyrannoBeat,burst,2,
M0224,2,DranSword,spin,1,
M0224,3,DranSword,burst,2,
M0224,4,DranSword,spin,1,
M0225,1,ValkyrieVolt,spin,1,
M0225,2,ValkyrieVolt,pocket,2,
M0225,3,ValkyrieVolt,pocket,2,
M0226,1,DranBrave,pocket,2,
M0226,2,PegasusBlast,pocket,2,
M0226,3,PegasusBlast,pocket,2,
M0227,1,TuskMammoth,spin,1,
M0227,2,TuskMammoth,spin,1,
M0227,3,TuskMammoth,pocket,2,
M0228,1,SamuraiSaber,pocket,2,
M0228,2,SamuraiSaber,spin,1,
M0228,3,SamuraiSaber,pocket,2,
M0229,1,CobaltDragoon,spin,1,
M0229,2,PhoenixWing,pocket,2,
M0229,3,PhoenixWing,burst,2,
M0230,1,CobaltDrake,extreme,3,
M0230,2,CobaltDrake,burst,2,
M0231,1,TyrannoBeat,pocket,2,
M0231,2,TyrannoBeat,pocket,2,
M0232,1,SharkScale,burst,2,
M0232,2,SharkScale,burst,2,
M0233,1,ValkyrieVolt,pocket,2,
M0233,2,ValkyrieVolt,pocket,2,
M0234,1,SamuraiSaber,pocket,2,
M0234,2,SamuraiSaber,pocket,2,
M0235,1,PhoenixWing,burst,2,
M0235,2,CobaltDrake,spin,1,
M0235,3,PhoenixWing,pocket,2,
M0236,1,SharkScale,spin,1,
M0236,2,SharkScale,burst,2,
M0236,3,SharkScale,burst,2,
M0237,1,ValkyrieVolt,extreme,3,
M0237,2,ValkyrieVolt,burst,2,
M0238,1,SharkScale,pocket,2,
M0238,2,SharkScale,spin,1,
M0238,3,SharkScale,spin,1,
M0239,1,SamuraiSaber,spin,1,
M0239,2,SamuraiSaber,extreme,3,
M0240,1,ValkyrieVolt,pocket,2,
M0240,2,SharkScale,burst,2,
M0240,3,ValkyrieVolt,pocket,2,
M0240,4,SharkScale,spin,1,
M0240,5,ValkyrieVolt,pocket,2,
M0240,6,SharkScale,spin,1,
M0240,7,ValkyrieVolt,burst,2,
M0241,1,TuskMammoth,burst,2,
M0241,2,TuskMammoth,spin,1,
M0241,3,TuskMammoth,burst,2,
M0242,1,DranSword,pocket,2,
M0242,2,DranDagger,extreme,3,
M0242,3,DranDagger,pocket,2,
M0243,1,ScorpioSpear,pocket,2,
M0243,2,ScorpioSpear,extreme,3,
M0244,1,CrimsonGaruda,pocket,2,
M0244,2,CrimsonGaruda,pocket,2,
M0245,1,PerseusDark,pocket,2,
M0245,2,PerseusDark,burst,2,
M0246,1,WhaleWave,pocket,2,
M0246,2,WhaleWave,pocket,2,
M0247,1,WizardArc,spin,1,
M0247,2,WizardArc,pocket,2,
M0247,3,WizardArc,pocket,2,
M0248,1,HellsChain,spin,1,
M0248,2,HellsChain,pocket,2,
M0248,3,HellsChain,spin,1,
M0249,1,DranDagger,extreme,3,
M0249,2,TuskMammoth,spin,1,
M0249,3,TuskMammoth,pocket,2,
M0249,4,DranDagger,pocket,2,
M0250,1,ScorpioSpear,burst,2,
M0250,2,ScorpioSpear,spin,1,
M0250,3,CrimsonGaruda,burst,2,
M0250,4,ScorpioSpear,pocket,2,
M0251,1,PerseusDark,extreme,3,
M0251,2,WhaleWave,burst,2,
M0251,3,WhaleWave,pocket,2,
M0252,1,WizardArc,pocket,2,
M0252,2,WizardArc,pocket,2,
M0253,1,DranDagger,pocket,2,
M0253,2,ScorpioSpear,pocket,2,
M0253,3,ScorpioSpear,pocket,2,
M0254,1,WizardArc,spin,1,
M0254,2,WizardArc,pocket,2,
M0254,3,WhaleWave,burst,2,
M0254,4,WhaleWave,extreme,3,
M0255,1,WizardArc,spin,1,
M0255,2,WizardArc,pocket,2,
M0255,3,DranDagger,burst,2,
M0255,4,WizardArc,spin,1,
M0256,1,ScorpioSpear,spin,1,
M0256,2,WhaleWave,pocket,2,
M0256,3,ScorpioSpear,pocket,2,
M0256,4,ScorpioSpear,burst,2,
M0256,5,ScorpioSpear,burst,2,
M0257,1,HellsChain,spin,1,
M0257,2,HellsChain,burst,2,
M0257,3,CrimsonGaruda,pocket,2,
M0257,4,HellsChain,spin,1,
M0258,1,SharkEdge,burst,2,
M0258,2,WizardRod,spin,1,
M0258,3,WizardRod,burst,2,
M0258,4,SharkEdge,burst,2,
M0259,1,WhaleWave,burst,2,
M0259,2,SilverWolf,spin,1,
M0259,3,SilverWolf,spin,1,
M0259,4,WhaleWave,spin,1,
M0259,5,SilverWolf,spin,1,
M0259,6,SilverWolf,spin,1,
M0260,1,UnicornSting,spin,1,
M0260,2,RhinoReaper,burst,2,
M0260,3,UnicornSting,extreme,3,
M0261,1,LeonClaw,spin,1,
M0261,2,LeonClaw,spin,1,
M0261,3,ValkyrieVolt,burst,2,
M0261,4,LeonClaw,pocket,2,
M0262,1,DranBrave,spin,1,
M0262,2,DranBrave,spin,1,
M0262,3,HellsReaper,spin,1,
M0262,4,HellsReaper,pocket,2,
M0262,5,DranBrave,spin,1,
M0262,6,HellsReaper,spin,1,
M0263,1,KnightMail,extreme,3,
M0263,2,KnightMail,spin,1,
M0264,1,DranDagger,spin,1,
M0264,2,PerseusDark,spin,1,
M0264,3,PerseusDark,spin,1,
M0264,4,PerseusDark,spin,1,
M0264,5,DranDagger,pocket,2,
M0264,6,PerseusDark,pocket,2,
M0265,1,SolEclipse,pocket,2,
M0265,2,SharkScale,extreme,3,
M0265,3,SharkScale,extreme,3,
M0266,1,WeissTiger,pocket,2,
M0266,2,WyvernHover,spin,1,
M0266,3,WyvernHover,pocket,2,
M0266,4,WyvernHover,spin,1,
M0267,1,DranSword,spin,1,
M0267,2,CobaltDragoon,burst,2,
M0267,3,CobaltDragoon,burst,2,
M0268,1,LeonCrest,pocket,2,
M0268,2,LeonCrest,spin,1,
M0268,3,LeonCrest,spin,1,
M0269,1,TuskMammoth,spin,1,
M0269,2,TuskMammoth,burst,2,
M0269,3,TuskMammoth,spin,1,
M0270,1,CerberusFlame,spin,1,
M0270,2,GolemRock,burst,2,
M0270,3,CerberusFlame,spin,1,
M0270,4,CerberusFlame,spin,1,
M0270,5,GolemRock,burst,2,
M0271,1,ImpactDrake,pocket,2,
M0271,2,ImpactDrake,burst,2,
M0272,1,ValkyrieVolt,pocket,2,
M0272,2,ValkyrieVolt,burst,2,
M0273,1,HellsChain,burst,2,
M0273,2,HellsChain,burst,2,
M0274,1,RhinoReaper,spin,1,
M0274,2,RhinoReaper,spin,1,
M0274,3,SilverWolf,spin,1,
M0274,4,RhinoReaper,spin,1,
M0274,5,SilverWolf,spin,1,
M0274,6,RhinoReaper,spin,1,
M0275,1,WizardRod,spin,1,
M0275,2,WizardRod,spin,1,
M0275,3,WhaleWave,burst,2,
M0275,4,WizardRod,burst,2,
M0276,1,LeonClaw,burst,2,
M0276,2,LeonClaw,spin,1,
M0276,3,CrimsonGaruda,burst,2,
M0276,4,LeonClaw,pocket,2,
M0277,1,WeissTiger,spin,1,
M0277,2,WeissTiger,pocket,2,
M0277,3,WeissTiger,spin,1,
M0278,1,DranBrave,burst,2,
M0278,2,DranBrave,burst,2,
M0279,1,PerseusDark,spin,1,
M0279,2,SharkScale,extreme,3,
M0279,3,PerseusDark,spin,1,
M0279,4,SharkScale,burst,2,
M0280,1,KnightMail,spin,1,
M0280,2,KnightMail,burst,2,
M0280,3,DranDagger,pocket,2,
M0280,4,KnightMail,extreme,3,
M0281,1,HellsReaper,spin,1,
M0281,2,WyvernHover,extreme,3,
M0281,3,WyvernHover,spin,1,
M0282,1,ImpactDrake,extreme,3,
M0282,2,ImpactDrake,extreme,3,
M0283,1,CerberusFlame,spin,1,
M0283,2,DranSword,burst,2,
M0283,3,DranSword,pocket,2,
M0284,1,ScorpioSpear,pocket,2,
M0284,2,ScorpioSpear,burst,2,
M0285,1,TuskMammoth,pocket,2,
M0285,2,TuskMammoth,spin,1,
M0285,3,TuskMammoth,spin,1,
M0286,1,ViperTail,burst,2,
M0286,2,CobaltDragoon,pocket,2,
M0286,3,CobaltDragoon,spin,1,
M0286,4,CobaltDragoon,extreme,3,
M0287,1,ScorpioSpear,burst,2,
M0287,2,ScorpioSpear,spin,1,
M0287,3,ScorpioSpear,burst,2,
M0288,1,ImpactDrake,pocket,2,
M0288,2,TuskMammoth,pocket,2,
M0288,3,TuskMammoth,extreme,3,
M0289,1,LeonCrest,pocket,2,
M0289,2,LeonCrest,extreme,3,
M0290,1,ViperTail,burst,2,
M0290,2,FoxBrush,burst,2,
M0290,3,FoxBrush,pocket,2,
M0291,1,CobaltDragoon,pocket,2,
M0291,2,CobaltDragoon,pocket,2,
M0292,1,PerseusDark,spin,1,
M0292,2,PerseusDark,spin,1,
M0292,3,PerseusDark,pocket,2,
M0293,1,WeissTiger,pocket,2,
M0293,2,WeissTiger,spin,1,
M0293,3,DranDagger,spin,1,
M0293,4,DranDagger,spin,1,
M0293,5,WeissTiger,pocket,2,
M0294,1,SharkScale,burst,2,
M0294,2,SharkScale,burst,2,
M0295,1,WyvernHover,extreme,3,
M0295,2,WyvernHover,spin,1,
M0296,1,HellsReaper,burst,2,
M0296,2,HellsReaper,pocket,2,
M0297,1,HellsChain,spin,1,
M0297,2,SilverWolf,extreme,3,
M0297,3,HellsChain,spin,1,
M0297,4,SilverWolf,pocket,2,
M0298,1,ValkyrieVolt,burst,2,
M0298,2,ValkyrieVolt,pocket,2,
M0299,1,WizardRod,spin,1,
M0299,2,RhinoReaper,burst,2,
M0299,3,RhinoReaper,spin,1,
M0299,4,RhinoReaper,burst,2,
M0300,1,SharkEdge,extreme,3,
M0300,2,LeonClaw,burst,2,
M0300,3,LeonClaw,pocket,2,
M0301,1,UnicornSting,pocket,2,
M0301,2,UnicornSting,pocket,2,
M0302,1,WolfHunt,spin,1,
M0302,2,WolfHunt,extreme,3,
M0303,1,TuskMammoth,burst,2,
M0303,2,TuskMammoth,burst,2,
M0304,1,TuskMammoth,pocket,2,
M0304,2,TuskMammoth,burst,2,
M0305,1,TuskMammoth,pocket,2,
M0305,2,TuskMammoth,pocket,2,
M0306,1,ValkyrieVolt,pocket,2,
M0306,2,ValkyrieVolt,spin,1,
M0306,3,ValkyrieVolt,pocket,2,
M0307,1,CerberusFlame,spin,1,
M0307,2,SharkScale,pocket,2,
M0307,3,SharkScale,pocket,2,
M0308,1,SolEclipse,spin,1,
M0308,2,SolEclipse,pocket,2,
M0308,3,SolEclipse,burst,2,
M0309,1,EmperorMight,pocket,2,
M0309,2,WolfHunt,pocket,2,
M0309,3,EmperorMight,burst,2,
M0310,1,CobaltDragoon,pocket,2,
M0310,2,PhoenixWing,pocket,2,
M0310,3,CobaltDragoon,pocket,2,
M0311,1,CobaltDrake,pocket,2,
M0311,2,ImpactDrake,extreme,3,
M0311,3,ImpactDrake,pocket,2,
M0312,1,WizardArc,pocket,2,
M0312,2,WizardArc,pocket,2,
M0313,1,CobaltDrake,extreme,3,
M0313,2,SamuraiSaber,pocket,2,
M0313,3,CobaltDrake,extreme,3,
M0314,1,ValkyrieVolt,pocket,2,
M0314,2,ValkyrieVolt,extreme,3,
M0315,1,LeonCrest,spin,1,
M0315,2,LeonCrest,spin,1,
M0315,3,LeonCrest,pocket,2,
M0316,1,CobaltDrake,pocket,2,
M0316,2,WizardArc,pocket,2,
M0316,3,WizardArc,pocket,2,
M0317,1,LeonCrest,spin,1,
M0317,2,ValkyrieVolt,pocket,2,
M0317,3,LeonCrest,spin,1,
M0317,4,ValkyrieVolt,extreme,3,
M0318,1,CobaltDrake,pocket,2,
M0318,2,LeonCrest,spin,1,
M0318,3,CobaltDrake,pocket,2,
M0319,1,ValkyrieVolt,pocket,2,
M0319,2,WizardArc,pocket,2,
M0319,3,ValkyrieVolt,pocket,2,
M0319,4,ValkyrieVolt,burst,2,
M0319,5,WizardArc,spin,1,
M0319,6,ValkyrieVolt,pocket,2,
M0320,1,HellsChain,burst,2,
M0320,2,HellsChain,pocket,2,
M0321,1,CrimsonGaruda,burst,2,
M0321,2,CrimsonGaruda,burst,2,
M0322,1,LeonClaw,pocket,2,
M0322,2,LeonClaw,burst,2,
M0323,1,RhinoReaper,spin,1,
M0323,2,RhinoReaper,spin,1,
M0323,3,ValkyrieVolt,pocket,2,
M0323,4,RhinoReaper,spin,1,
M0323,5,ValkyrieVolt,extreme,3,
M0324,1,SharkEdge,burst,2,
M0324,2,WhaleWave,spin,1,
M0324,3,SharkEdge,burst,2,
M0325,1,DranBrave,pocket,2,
M0325,2,KnightMail,spin,1,
M0325,3,KnightMail,spin,1,
M0325,4,DranBrave,pocket,2,
M0326,1,PerseusDark,spin,1,
M0326,2,PerseusDark,spin,1,
M0326,3,PerseusDark,pocket,2,
M0327,1,SolEclipse,burst,2,
M0327,2,WyvernHover,spin,1,
M0327,3,SolEclipse,burst,2,
M0328,1,SharkScale,burst,2,
M0328,2,WeissTiger,extreme,3,
M0328,3,SharkScale,spin,1,
M0328,4,WeissTiger,spin,1,
M0329,1,DranDagger,pocket,2,
M0329,2,PhoenixWing,spin,1,
M0329,3,DranDagger,pocket,2,
M0330,1,LeonCrest,pocket,2,
M0330,2,LeonCrest,spin,1,
M0330,3,LeonCrest,spin,1,
M0331,1,ScorpioSpear,pocket,2,
M0331,2,ScorpioSpear,pocket,2,
M0332,1,CerberusFlame,burst,2,
M0332,2,CerberusFlame,spin,1,
M0332,3,CerberusFlame,spin,1,
M0333,1,ImpactDrake,burst,2,
M0333,2,ImpactDrake,pocket,2,
M0334,1,FoxBrush,pocket,2,
M0334,2,TuskMammoth,pocket,2,
M0334,3,TuskMammoth,spin,1,
M0334,4,TuskMammoth,extreme,3,
M0335,1,SharkEdge,burst,2,
M0335,2,RhinoReaper,spin,1,
M0335,3,RhinoReaper,pocket,2,
M0335,4,SharkEdge,stadium_exit,2,
M0336,1,LeonClaw,burst,2,
M0336,2,WhaleWave,pocket,2,
M0336,3,WhaleWave,pocket,2,
M0337,1,ValkyrieVolt,pocket,2,
M0337,2,ValkyrieVolt,extreme,3,
M0338,1,WizardRod,pocket,2,
M0338,2,CrimsonGaruda,burst,2,
M0338,3,WizardRod,spin,1,
M0338,4,WizardRod,spin,1,
