FixtureID,Date,BeyA,BeyB,MatchType,SeasonID,Tier,Matchday
S2_T3_HellsChain_PerseusDark,,HellsChain,PerseusDark,season,S2,3,5
S2_T3_PhoenixWing_SilverWolf,,PhoenixWing,SilverWolf,season,S2,3,5
S2_T2_CerberusFlame_ViperTail,,CerberusFlame,ViperTail,season,S2,2,5
S2_T2_DranSword_KnightMail,,KnightMail,DranSword,season,S2,2,5
S2_T2_CobaltDragoon_DranBrave,,DranBrave,CobaltDragoon,season,S2,2,5
S2_T2_WeissTiger_WyvernHover,,WyvernHover,WeissTiger,season,S2,2,5
S2_T1_GolemRock_LeonCrest,,GolemRock,LeonCrest,season,S2,1,5
S2_T1_SharkScale_TuskMammoth,,TuskMammoth,SharkScale,season,S2,1,5
S2_T1_FoxBrush_ImpactDrake,,FoxBrush,ImpactDrake,season,S2,1,5
S2_T1_ScorpioSpear_ValkyrieVolt,,ScorpioSpear,ValkyrieVolt,season,S2,1,5
S2_T4_HellsHammer_SolEclipse,,SolEclipse,HellsHammer,season,S2,4,6
S2_T4_CobaltDrake_DranDagger,,DranDagger,CobaltDrake,season,S2,4,6
S2_T4_PhoenixRudder_WizardArc,,PhoenixRudder,WizardArc,season,S2,4,6
S2_T4_HellsBrave_WolfHunt,,WolfHunt,HellsBrave,season,S2,4,6
S2_T3_HellsChain_HellsReaper,,HellsReaper,HellsChain,season,S2,3,6
S2_T3_PerseusDark_RhinoReaper,,PerseusDark,RhinoReaper,season,S2,3,6
S2_T3_PhoenixWing_SharkEdge,,SharkEdge,PhoenixWing,season,S2,3,6
S2_T3_LeonClaw_SilverWolf,,SilverWolf,LeonClaw,season,S2,3,6
S2_T2_DranBrave_DranSword,,DranSword,DranBrave,season,S2,2,6
S2_T2_CerberusFlame_CobaltDragoon,,CobaltDragoon,CerberusFlame,season,S2,2,6
S2_T2_ViperTail_WyvernHover,,ViperTail,WyvernHover,season,S2,2,6
S2_T2_KnightMail_WeissTiger,,WeissTiger,KnightMail,season,S2,2,6
S2_T1_FoxBrush_SharkScale,,SharkScale,FoxBrush,season,S2,1,6
