MatchID,round_number,winner,finish_type,points_awarded,notes
M0001,1,SamuraiCalibur,spin,1,
M0001,2,SamuraiSteel,spin,1,
M0001,3,SamuraiSteel,burst,2,
M0001,4,SamuraiSteel,spin,1,
M0002,1,TriceraPress,stadium_exit,2,
M0002,2,TriceraPress,pocket,2,
M0003,1,TriceraPress,stadium_exit,2,
M0003,2,CobaltDrake,pocket,2,
M0003,3,CobaltDrake,spin,1,
M0003,4,TriceraPress,spin,1,
M0003,5,CobaltDrake,spin,1,
M0004,1,CobaltDrake,burst,2,
M0004,2,SamuraiSteel,spin,1,
M0004,3,SamuraiSteel,burst,2,
M0004,4,CobaltDrake,pocket,2,
M0005,1,CobaltDrake,burst,2,
M0005,2,CobaltDrake,spin,1,
M0005,3,SamuraiCalibur,spin,1,
M0005,4,CobaltDrake,stadium_exit,2,
M0006,1,TriceraPress,burst,2,
M0006,2,SamuraiCalibur,spin,1,
M0006,3,TriceraPress,spin,1,
M0006,4,TriceraPress,pocket,2,
M0007,1,HellsBrave,pocket,2,
M0007,2,HellsBrave,extreme,3,
M0008,1,HellsBrave,pocket,2,
M0008,2,PhoenixRudder,spin,1,
M0008,3,HellsBrave,pocket,2,
M0009,1,DranDagger,extreme,3,
M0009,2,DranDagger,burst,2,
M0010,1,WizardArc,pocket,2,
M0010,2,WizardArc,spin,1,
M0010,3,WizardArc,spin,1,
M0011,1,HellsHammer,spin,1,
M0011,2,CobaltDrake,burst,2,
M0011,3,HellsHammer,spin,1,
M0011,4,HellsHammer,spin,1,
M0011,5,HellsHammer,spin,1,
M0012,1,LeonClaw,pocket,2,
M0012,2,LeonClaw,spin,1,
M0012,3,SharkEdge,pocket,2,
M0012,4,LeonClaw,pocket,2,
M0013,1,SilverWolf,spin,1,
M0013,2,SilverWolf,spin,1,
M0013,3,SilverWolf,spin,1,
M0013,4,SilverWolf,spin,1,
M0014,1,PhoenixWing,pocket,2,
M0014,2,HellsReaper,pocket,2,
M0014,3,HellsReaper,extreme,3,
M0015,1,HellsChain,spin,1,
M0015,2,HellsChain,spin,1,
M0015,3,RhinoReaper,spin,1,
M0015,4,HellsChain,spin,1,
M0015,5,HellsChain,spin,1,
M0016,1,KnightMail,pocket,2,
M0016,2,KnightMail,pocket,2,
M0017,1,WeissTiger,pocket,2,
M0017,2,CobaltDragoon,pocket,2,
M0017,3,WeissTiger,spin,1,
M0017,4,WeissTiger,pocket,2,
M0018,1,WyvernHover,extreme,3,
M0018,2,DranSword,burst,2,
M0018,3,DranSword,burst,2,
M0019,1,CerberusFlame,pocket,2,
M0019,2,DranBrave,pocket,2,
M0019,3,CerberusFlame,spin,1,
M0019,4,DranBrave,pocket,2,
M0020,1,TuskMammoth,pocket,2,
M0020,2,LeonCrest,pocket,2,
M0020,3,TuskMammoth,pocket,2,
M0021,1,ValkyrieVolt,spin,1,
M0021,2,ImpactDrake,spin,1,
M0021,3,ValkyrieVolt,pocket,2,
M0021,4,ValkyrieVolt,spin,1,
M0022,1,SharkScale,spin,1,
M0022,2,SharkScale,burst,2,
M0022,3,ScorpioSpear,stadium_exit,2,
M0022,4,ScorpioSpear,pocket,2,
M0023,1,FoxBrush,pocket,2,
M0023,2,FoxBrush,burst,2,
M0024,1,SolEclipse,spin,1,
M0024,2,SolEclipse,burst,2,
M0024,3,WolfHunt,pocket,2,
M0024,4,WolfHunt,extreme,3,
M0025,1,PhoenixRudder,burst,2,
M0025,2,PhoenixRudder,spin,1,
M0025,3,HellsHammer,pocket,2,
M0025,4,PhoenixRudder,burst,2,
M0026,1,HellsBrave,pocket,2,
M0026,2,DranDagger,pocket,2,
M0026,3,HellsBrave,extreme,3,
M0027,1,CobaltDrake,burst,2,
M0027,2,CobaltDrake,burst,2,
M0028,1,SilverWolf,burst,2,
M0028,2,HellsReaper,burst,2,
M0028,3,SilverWolf,spin,1,
M0028,4,SilverWolf,spin,1,
M0029,1,SharkEdge,extreme,3,
M0029,2,HellsChain,spin,1,
M0029,3,HellsChain,spin,1,
M0029,4,HellsChain,pocket,2,
M0030,1,LeonClaw,burst,2,
M0030,2,PerseusDark,burst,2,
M0030,3,PerseusDark,pocket,2,
M0031,1,PhoenixWing,pocket,2,
M0031,2,PhoenixWing,extreme,3,
M0032,1,DranSword,burst,2,
M0032,2,WeissTiger,spin,1,
M0032,3,DranSword,spin,1,
M0032,4,DranSword,pocket,2,
M0033,1,ViperTail,burst,2,
M0033,2,ViperTail,burst,2,
M0034,1,CobaltDragoon,spin,1,
M0034,2,CobaltDragoon,burst,2,
M0034,3,KnightMail,pocket,2,
M0034,4,CobaltDragoon,burst,2,
M0035,1,CerberusFlame,pocket,2,
M0035,2,WyvernHover,spin,1,
M0035,3,CerberusFlame,burst,2,
M0036,1,ValkyrieVolt,spin,1,
M0036,2,SharkScale,burst,2,
M0036,3,ValkyrieVolt,spin,1,
M0036,4,ValkyrieVolt,pocket,2,
M0037,1,LeonCrest,extreme,3,
M0037,2,FoxBrush,spin,1,
M0037,3,LeonCrest,extreme,3,
M0038,1,ImpactDrake,pocket,2,
M0038,2,TuskMammoth,pocket,2,
M0038,3,TuskMammoth,spin,1,
M0038,4,ImpactDrake,spin,1,
M0038,5,TuskMammoth,pocket,2,
M0039,1,ScorpioSpear,burst,2,
M0039,2,GolemRock,pocket,2,
M0039,3,ScorpioSpear,burst,2,
