Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
153,M0241,2026-01-30,TuskMammoth,WeissTiger,997.4,1000.0,2.65,5-0
154,M0096,2025-12-02,DranBuster,TyrannoBeat,969.2,971.8,2.64,4-0
155,M0145,2025-12-27,DranBrave,SilverWolf,989.0,991.7,2.63,5-3
156,M0081,2025-12-02,BlackShell,DranBuster,986.4,989.0,2.59,4-0
157,M0042,2025-11-12,ViperTail,DranBrave,996.5,998.8,2.22,4-0
158,M0215,2026-01-04,CobaltDragoon,SharkScale,1040.4,1042.1,1.71,5-3
159,M0128,2025-12-27,UnicornSting,CrimsonGaruda,976.2,977.0,0.74,4-0
160,M0019,2025-09-07,DranSword,DranBrave,1013.1,1013.8,0.71,5-3
161,M0237,2026-01-30,ValkyrieVolt,SamuraiSaber,1047.1,1047.5,0.43,5-0
162,M0267,2026-01-30,CobaltDragoon,DranSword,1050.1,1050.4,0.23,4-1
163,M0100,2025-12-02,PerseusDark,DranBrave,965.1,965.1,0.05,4-1
