Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
10,1,0,1,2025-09-07,SamuraiSaber,986,14,1,0,1,0.0
10,1,0,1,2025-09-07,DranSword,1013,10,1,1,0,1.0
11,1,0,1,2025-09-07,HellsChain,986,18,1,0,1,0.0
11,1,0,1,2025-09-07,LeonCrest,987,12,1,0,1,0.0
11,1,0,1,2025-09-07,CrimsonGaruda,980,20,1,0,1,0.0
11,1,0,1,2025-09-07,WizardArc,986,15,1,0,1,0.0
11,1,0,1,2025-09-07,HellsReaper,986,17,1,0,1,0.0
11,1,1,0,2025-09-07,PhoenixWing,1013,11,1,1,0,1.0
11,1,1,0,2025-09-07,WizardArrow,987,14,1,0,1,0.0
11,1,0,1,2025-09-07,HellsHammer,987,13,1,0,1,0.0
11,1,0,1,2025-09-07,BlackShell,980,19,1,0,1,0.0
11,1,0,1,2025-09-07,DranBuster,976,22,1,0,1,0.0
11,1,0,1,2025-09-07,LeonClaw,980,21,1,0,1,0.0
11,1,0,1,2025-09-07,SamuraiSaber,986,16,1,0,1,0.0
12,1,0,1,2025-09-07,HellsReaper,986,18,1,0,1,0.0
12,1,1,0,2025-09-07,SharkEdge,976,24,1,0,1,0.0
12,1,0,1,2025-09-07,TyrannoBeat,1014,9,1,1,0,1.0
12,1,0,1,2025-09-07,TuskMammoth,1014,7,1,1,0,1.0
12,1,0,1,2025-09-07,SamuraiSaber,986,17,1,0,1,0.0
12,1,0,1,2025-09-07,WizardArc,986,16,1,0,1,0.0
12,1,0,1,2025-09-07,UnicornSting,1020,5,1,1,0,1.0
12,1,0,1,2025-09-07,HellsHammer,987,14,1,0,1,0.0
12,1,1,0,2025-09-07,CobaltDragoon,1024,2,1,1,0,1.0
12,1,0,1,2025-09-07,DranDagger,1020,4,1,1,0,1.0
12,1,0,1,2025-09-07,DranBrave,1014,8,1,1,0,1.0
12,1,0,1,2025-09-07,HellsChain,986,19,1,0,1,0.0
12,1,0,1,2025-09-07,LeonCrest,987,13,1,0,1,0.0
12,1,0,1,2025-09-07,GolemRock,1020,3,1,1,0,1.0
12,1,0,1,2025-09-07,CrimsonGaruda,980,21,1,0,1,0.0
12,1,0,1,2025-09-07,ImpactDrake,1013,10,1,1,0,1.0
12,1,0,1,2025-09-07,DranBuster,976,23,1,0,1,0.0
12,1,0,1,2025-09-07,LeonClaw,980,22,1,0,1,0.0
12,1,0,1,2025-09-07,DranSword,1013,11,1,1,0,1.0
12,1,0,1,2025-09-07,PhoenixWing,1013,12,1,1,0,1.0
12,1,0,1,2025-09-07,WizardArrow,987,15,1,0,1,0.0
12,1,0,1,2025-09-07,BlackShell,980,20,1,0,1,0.0
