matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,LeonClaw,1,1,0,4,5,0,5,1000.0,0,2,0,2.5,2.5
1,2,PhoenixRudder,1,1,0,4,4,0,4,1000.0,0,3,0,1.33,1.33
1,3,DranDagger,1,1,0,3,4,2,2,1000.0,0,2,1,1.33,2.0
1,4,HellsHammer,1,1,0,3,4,3,1,1000.0,0,2,2,1.0,2.0
1,5,TriceraPress,1,0,1,0,3,4,-1,1000.0,0,2,2,0.75,1.5
1,6,DranBuster,1,0,1,0,2,4,-2,1000.0,0,1,2,0.67,2.0
1,7,SharkEdge,1,0,1,0,0,4,-4,1000.0,0,0,3,0.0,0.0
1,8,TyrannoBeat,1,0,1,0,0,5,-5,1000.0,0,0,2,0.0,0.0
2,1,DranDagger,2,2,0,6,9,4,5,1000.0,2,4,3,1.29,2.25
2,2,TriceraPress,2,1,1,4,7,4,3,1000.0,3,4,2,1.17,1.75
2,3,PhoenixRudder,2,1,1,4,6,4,2,1000.0,-1,4,2,1.0,1.5
2,4,LeonClaw,2,1,1,4,5,4,1,1000.0,-3,2,2,1.25,2.5
2,5,SharkEdge,2,1,1,4,5,4,1,1000.0,2,2,3,1.0,2.5
2,6,DranBuster,2,1,1,3,6,6,0,1000.0,0,3,3,1.0,2.0
2,7,HellsHammer,2,1,1,3,6,8,-2,1000.0,-3,4,4,0.75,1.5
2,8,TyrannoBeat,2,0,2,0,0,10,-10,1000.0,0,0,4,0.0,0.0
3,1,TriceraPress,3,2,1,8,11,4,7,1000.0,1,6,2,1.38,1.83
3,2,LeonClaw,3,2,1,7,9,6,3,1000.0,2,6,3,1.0,1.5
3,3,HellsHammer,3,2,1,7,10,8,2,1000.0,4,6,4,1.0,1.67
3,4,DranBuster,3,2,1,6,11,7,4,1000.0,2,5,4,1.22,2.2
3,5,DranDagger,3,2,1,6,11,8,3,1000.0,-4,5,7,0.92,2.2
3,6,PhoenixRudder,3,1,2,4,6,8,-2,1000.0,-3,4,4,0.75,1.5
3,7,SharkEdge,3,1,2,4,6,9,-3,1000.0,-2,3,5,0.75,2.0
3,8,TyrannoBeat,3,0,3,0,0,14,-14,1000.0,0,0,6,0.0,0.0
4,1,TriceraPress,4,3,1,12,16,4,12,1000.0,0,8,2,1.6,2.0
4,2,HellsHammer,4,3,1,11,14,8,6,1000.0,1,9,4,1.08,1.56
4,3,LeonClaw,4,2,2,7,11,10,1,1000.0,-1,7,6,0.85,1.57
4,4,PhoenixRudder,4,2,2,7,10,10,0,1000.0,2,7,5,0.83,1.43
4,5,DranBuster,4,2,2,6,12,12,0,1000.0,-1,6,7,0.92,2.0
4,6,DranDagger,4,2,2,6,11,13,-2,1000.0,-1,5,9,0.79,2.2
4,7,SharkEdge,4,1,3,4,6,13,-7,1000.0,0,3,8,0.55,2.0
4,8,TyrannoBeat,4,1,3,3,5,15,-10,1000.0,0,3,7,0.5,1.67
5,1,TriceraPress,5,3,2,12,16,9,7,1000.0,0,8,4,1.33,2.0
5,2,LeonClaw,5,3,2,11,15,10,5,1000.0,1,9,6,1.0,1.67
5,3,PhoenixRudder,5,3,2,11,15,10,5,1000.0,1,9,5,1.07,1.67
5,4,HellsHammer,5,3,2,11,14,12,2,1000.0,-2,9,6,0.93,1.56
5,5,DranBuster,5,3,2,10,16,12,4,1000.0,0,8,7,1.07,2.0
5,6,DranDagger,5,3,2,9,16,15,1,1000.0,0,7,11,0.89,2.29
5,7,SharkEdge,5,1,4,4,6,17,-11,1000.0,0,3,10,0.46,2.0
5,8,TyrannoBeat,5,1,4,3,7,20,-13,1000.0,0,5,9,0.5,1.4
6,1,TriceraPress,6,4,2,16,21,9,12,1000.0,0,11,4,1.4,1.91
6,2,LeonClaw,6,4,2,14,19,12,7,1000.0,0,12,7,1.0,1.58
6,3,DranDagger,6,4,2,12,20,16,4,1000.0,3,9,12,0.95,2.22
6,4,PhoenixRudder,6,3,3,11,16,14,2,1000.0,-1,10,7,0.94,1.6
6,5,HellsHammer,6,3,3,11,14,17,-3,1000.0,-1,9,8,0.82,1.56
6,6,DranBuster,6,3,3,10,18,16,2,1000.0,-1,9,10,0.95,2.0
6,7,TyrannoBeat,6,2,4,7,12,20,-8,1000.0,1,7,9,0.75,1.71
6,8,SharkEdge,6,1,5,4,6,22,-16,1000.0,-1,3,13,0.38,2.0
