matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,ImpactDrake,1,1,0,4,6,0,6,1000.0,0,2,0,3.0,3.0
1,2,TuskMammoth,1,1,0,3,4,2,2,1000.0,0,3,1,1.0,1.33
1,3,ValkyrieVolt,1,1,0,3,4,2,2,1000.0,0,3,2,0.8,1.33
1,4,FoxBrush,1,1,0,3,4,3,1,1000.0,0,2,2,1.0,2.0
1,5,CobaltDragoon,1,0,1,0,3,4,-1,1000.0,0,2,2,0.75,1.5
1,6,DranSword,1,0,1,0,2,4,-2,1000.0,0,1,3,0.5,2.0
1,7,SharkScale,1,0,1,0,2,4,-2,1000.0,0,2,3,0.4,1.0
1,8,ScorpioSpear,1,0,1,0,0,6,-6,1000.0,0,0,2,0.0,0.0
2,1,ImpactDrake,2,2,0,7,12,3,9,1000.0,0,4,2,2.0,3.0
2,2,DranSword,2,1,1,4,6,4,2,1000.0,4,4,3,0.86,1.5
2,3,CobaltDragoon,2,1,1,3,7,6,1,1000.0,2,5,3,0.88,1.4
2,4,TuskMammoth,2,1,1,3,6,6,0,1000.0,-2,4,4,0.75,1.5
2,5,FoxBrush,2,1,1,3,7,9,-2,1000.0,-1,4,4,0.88,1.75
2,6,ScorpioSpear,2,1,1,3,5,7,-2,1000.0,2,4,3,0.71,1.25
2,7,ValkyrieVolt,2,1,1,3,5,7,-2,1000.0,-4,4,6,0.5,1.25
2,8,SharkScale,2,0,2,0,2,8,-6,1000.0,-1,2,6,0.25,1.0
3,1,ImpactDrake,3,3,0,10,16,4,12,1000.0,0,6,3,1.78,2.67
3,2,FoxBrush,3,2,1,7,12,9,3,1000.0,3,7,4,1.09,1.71
3,3,ValkyrieVolt,3,2,1,7,10,7,3,1000.0,4,7,6,0.77,1.43
3,4,SharkScale,3,1,2,4,7,8,-1,1000.0,4,6,6,0.58,1.17
3,5,DranSword,3,1,2,4,6,9,-3,1000.0,-3,4,6,0.6,1.5
3,6,TuskMammoth,3,1,2,3,7,10,-3,1000.0,-2,5,6,0.64,1.4
3,7,CobaltDragoon,3,1,2,3,7,11,-4,1000.0,-4,5,7,0.58,1.4
3,8,ScorpioSpear,3,1,2,3,5,12,-7,1000.0,-2,4,6,0.5,1.25
4,1,FoxBrush,4,3,1,11,17,9,8,1000.0,1,10,4,1.21,1.7
4,2,ImpactDrake,4,3,1,10,19,8,11,1000.0,-1,9,5,1.36,2.11
4,3,ValkyrieVolt,4,3,1,10,14,10,4,1000.0,0,9,8,0.82,1.56
4,4,DranSword,4,2,2,8,10,9,1,1000.0,1,6,6,0.83,1.67
4,5,SharkScale,4,2,2,7,11,11,0,1000.0,-1,8,9,0.65,1.38
4,6,CobaltDragoon,4,1,3,3,10,15,-5,1000.0,1,7,9,0.62,1.43
4,7,TuskMammoth,4,1,3,3,7,15,-8,1000.0,-1,5,9,0.5,1.4
4,8,ScorpioSpear,4,1,3,3,5,16,-11,1000.0,0,4,8,0.42,1.25
5,1,FoxBrush,5,4,1,15,22,9,13,1000.0,0,12,4,1.38,1.83
5,2,ImpactDrake,5,4,1,13,24,10,14,1000.0,0,13,7,1.2,1.85
5,3,DranSword,5,3,2,11,14,11,3,1000.0,1,8,7,0.93,1.75
5,4,ValkyrieVolt,5,3,2,10,16,15,1,1000.0,-1,11,12,0.7,1.45
5,5,TuskMammoth,5,2,3,7,11,15,-4,1000.0,2,7,9,0.69,1.57
5,6,SharkScale,5,2,3,7,11,16,-5,1000.0,-1,8,11,0.58,1.38
5,7,CobaltDragoon,5,1,4,3,12,19,-7,1000.0,-1,8,11,0.63,1.5
5,8,ScorpioSpear,5,1,4,3,5,20,-15,1000.0,0,4,10,0.36,1.25
6,1,FoxBrush,6,5,1,18,26,11,15,1000.0,0,15,5,1.3,1.73
6,2,DranSword,6,4,2,14,18,14,4,1000.0,1,10,8,1.0,1.8
6,3,ImpactDrake,6,4,2,13,27,14,13,1000.0,-1,14,9,1.17,1.93
6,4,ValkyrieVolt,6,3,3,10,18,19,-1,1000.0,0,12,15,0.67,1.5
6,5,TuskMammoth,6,3,3,10,16,17,-1,1000.0,0,11,10,0.76,1.45
6,6,SharkScale,6,2,4,7,13,21,-8,1000.0,0,9,15,0.54,1.44
6,7,ScorpioSpear,6,2,4,6,9,21,-12,1000.0,1,7,11,0.5,1.29
6,8,CobaltDragoon,6,1,5,3,13,23,-10,1000.0,-1,9,14,0.57,1.44
