bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
SharkScale,10,9,1,90.0,45,16,29,31,22,9,13,1.452,3.1,4.5,6,4,6,5,0,3,2,4,21,27.27,72.73,0,3,2,1.0,0,0.0,4,2,4.6,5.08,0.85
ValkyrieVolt,10,8,2,80.0,38,16,22,33,20,13,7,1.152,3.3,3.8,5,7,3,5,2,1,0,10,20,25.0,75.0,2,1,0,0.939,0,0.0,3,3,4.15,3.93,1.69
ImpactDrake,10,7,3,70.0,38,19,19,30,18,12,6,1.267,3.0,3.8,7,7,3,1,0,5,1,6,18,38.89,94.44,0,5,1,1.0,0,0.0,0,0,4.35,3.8,1.23
TuskMammoth,10,6,4,60.0,33,22,11,31,19,12,7,1.065,3.1,3.3,3,3,4,9,1,7,1,3,19,15.79,52.63,1,7,1,0.968,0,0.0,2,2,3.4,2.7,2.45
LeonClaw,9,6,3,66.67,30,22,8,27,16,11,5,1.111,3.0,3.33,4,6,2,4,4,3,2,2,16,25.0,75.0,4,3,2,0.852,1,11.11,1,1,3.67,2.56,1.87
HellsChain,9,6,3,66.67,27,19,8,25,16,9,7,1.08,2.78,3.0,5,2,2,7,1,5,2,1,16,31.25,56.25,1,5,2,0.96,1,11.11,0,0,3.44,2.51,1.87
KnightMail,12,7,5,58.33,36,27,9,37,22,15,7,0.973,3.08,3.0,4,4,3,11,2,6,2,5,22,18.18,50.0,2,6,2,0.946,1,8.33,1,0,3.21,2.21,1.95
LeonCrest,12,8,4,66.67,36,27,9,38,21,17,4,0.947,3.17,3.0,4,7,2,8,1,5,2,9,21,19.05,61.9,1,5,2,0.974,2,16.67,1,0,3.25,2.17,1.95
WeissTiger,12,7,5,58.33,37,28,9,41,22,19,3,0.902,3.42,3.08,1,10,2,9,3,6,0,10,22,4.55,59.09,3,6,0,0.927,1,8.33,1,1,3.08,2.1,1.62
DranBrave,9,6,3,66.67,28,21,7,32,16,16,0,0.875,3.56,3.11,3,5,2,6,2,3,0,11,16,18.75,62.5,2,3,0,0.938,1,11.11,3,2,3.33,2.09,1.83
SilverWolf,9,6,3,66.67,30,23,7,36,21,15,6,0.833,4.0,3.33,2,3,2,14,4,2,1,8,21,9.52,33.33,4,2,1,0.889,1,11.11,3,2,3.44,2.03,1.66
WyvernHover,9,5,4,55.56,26,21,5,27,15,12,3,0.963,3.0,2.89,1,6,2,6,4,1,2,5,15,6.67,60.0,4,1,2,0.852,0,0.0,2,1,2.89,2.0,1.69
SharkEdge,9,5,4,55.56,29,25,4,29,13,16,-3,1.0,3.22,3.22,7,2,3,0,5,4,0,7,12,53.85,92.31,5,4,0,0.828,2,22.22,0,0,3.61,1.94,1.48
RhinoReaper,9,4,5,44.44,31,26,5,36,21,15,6,0.861,4.0,3.44,7,3,0,11,3,1,3,7,21,33.33,47.62,3,1,3,0.917,0,0.0,1,0,4.22,1.85,1.13
ViperTail,9,4,5,44.44,26,24,2,26,13,13,0,1.0,2.89,2.89,5,4,2,2,3,4,2,4,13,38.46,84.62,3,4,2,0.885,0,0.0,0,0,3.33,1.72,2.2
PerseusDark,9,5,4,55.56,24,24,0,30,17,13,4,0.8,3.33,2.67,2,5,0,10,1,8,1,3,17,11.76,41.18,1,8,1,0.967,0,0.0,2,1,2.89,1.2,2.18
HellsReaper,9,4,5,44.44,24,26,-2,31,16,15,1,0.774,3.44,2.67,1,7,0,8,2,5,2,6,16,6.25,50.0,2,5,2,0.935,1,11.11,2,2,2.78,0.94,1.73
DranSword,9,4,5,44.44,22,25,-3,26,11,15,-4,0.846,2.89,2.44,3,4,2,2,8,2,0,5,11,27.27,81.82,8,2,0,0.692,0,0.0,1,0,2.67,0.94,2.07
UnicornSting,9,4,5,44.44,24,29,-5,26,12,14,-2,0.923,2.89,2.67,3,5,2,2,6,3,3,2,12,25.0,83.33,6,3,3,0.769,1,11.11,2,1,2.89,0.83,1.66
FoxBrush,9,5,4,55.56,25,30,-5,29,13,16,-3,0.862,3.22,2.78,5,5,1,2,2,4,4,6,13,38.46,84.62,2,4,4,0.931,2,22.22,3,2,3.28,0.74,2.05
ScorpioSpear,12,5,7,41.67,30,37,-7,35,16,19,-3,0.857,2.92,2.5,5,5,2,4,4,5,4,5,16,31.25,75.0,4,5,4,0.886,1,8.33,1,1,2.83,0.7,1.98
