matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,SharkScale,1,1,0,3,5,2,3,1000.0,0,3,2,1.0,1.67
1,2,ImpactDrake,1,1,0,3,4,2,2,1000.0,0,3,2,0.8,1.33
1,3,ValkyrieVolt,1,1,0,3,4,3,1,1000.0,0,2,2,1.0,2.0
1,4,FoxBrush,1,1,0,3,4,3,1,1000.0,0,2,1,1.33,2.0
1,5,GolemRock,1,0,1,0,3,4,-1,1000.0,0,2,2,0.75,1.5
1,6,TuskMammoth,1,0,1,0,3,4,-1,1000.0,0,1,2,1.0,3.0
1,7,ScorpioSpear,1,0,1,0,2,4,-2,1000.0,0,2,3,0.4,1.0
1,8,LeonCrest,1,0,1,0,2,5,-3,1000.0,0,2,3,0.4,1.0
2,1,ValkyrieVolt,2,2,0,7,8,3,5,1000.0,2,4,2,1.33,2.0
2,2,FoxBrush,2,2,0,6,10,4,6,1000.0,2,5,2,1.43,2.0
2,3,ImpactDrake,2,2,0,6,8,5,3,1000.0,-1,6,4,0.8,1.33
2,4,TuskMammoth,2,1,1,3,8,5,3,1000.0,2,3,3,1.33,2.67
2,5,SharkScale,2,1,1,3,8,6,2,1000.0,-4,5,5,0.8,1.6
2,6,GolemRock,2,0,2,0,4,9,-5,1000.0,-1,3,4,0.57,1.33
2,7,ScorpioSpear,2,0,2,0,3,10,-7,1000.0,0,3,6,0.33,1.0
2,8,LeonCrest,2,0,2,0,2,9,-7,1000.0,0,2,5,0.29,1.0
3,1,FoxBrush,3,3,0,10,14,4,10,1000.0,1,7,2,1.56,2.0
3,2,ValkyrieVolt,3,3,0,10,12,4,8,1000.0,-1,7,3,1.2,1.71
3,3,TuskMammoth,3,2,1,6,12,7,5,1000.0,1,5,4,1.33,2.4
3,4,ImpactDrake,3,2,1,6,9,9,0,1000.0,-1,7,7,0.64,1.29
3,5,SharkScale,3,1,2,3,11,10,1,1000.0,0,7,7,0.79,1.57
3,6,ScorpioSpear,3,1,2,3,7,13,-6,1000.0,1,5,8,0.54,1.4
3,7,LeonCrest,3,0,3,0,4,13,-9,1000.0,1,3,7,0.4,1.33
3,8,GolemRock,3,0,3,0,4,13,-9,1000.0,-2,3,6,0.44,1.33
4,1,ValkyrieVolt,4,4,0,13,16,6,10,1000.0,1,10,4,1.14,1.6
4,2,FoxBrush,4,3,1,10,15,10,5,1000.0,-1,8,4,1.25,1.88
4,3,TuskMammoth,4,3,1,9,17,10,7,1000.0,0,8,6,1.21,2.12
4,4,ImpactDrake,4,2,2,6,12,14,-2,1000.0,0,9,10,0.63,1.33
4,5,ScorpioSpear,4,2,2,6,11,15,-4,1000.0,1,7,9,0.69,1.57
4,6,SharkScale,4,1,3,3,13,14,-1,1000.0,-1,8,10,0.72,1.62
4,7,LeonCrest,4,1,3,3,10,14,-4,1000.0,0,5,8,0.77,2.0
4,8,GolemRock,4,0,4,0,6,17,-11,1000.0,0,4,8,0.5,1.5
5,1,TuskMammoth,5,4,1,13,21,10,11,1000.0,2,10,6,1.31,2.1
5,2,FoxBrush,5,4,1,13,19,12,7,1000.0,0,10,5,1.27,1.9
5,3,ValkyrieVolt,5,4,1,13,16,11,5,1000.0,-2,10,6,1.0,1.6
5,4,ScorpioSpear,5,3,2,10,16,15,1,1000.0,1,9,9,0.89,1.78
5,5,LeonCrest,5,2,3,7,15,14,1,1000.0,2,7,8,1.0,2.14
5,6,ImpactDrake,5,2,3,6,14,18,-4,1000.0,-2,10,12,0.64,1.4
5,7,SharkScale,5,1,4,3,13,18,-5,1000.0,-1,8,12,0.65,1.62
5,8,GolemRock,5,0,5,0,6,22,-16,1000.0,0,4,10,0.43,1.5
6,1,TuskMammoth,6,5,1,17,25,10,15,1000.0,0,14,6,1.25,1.79
6,2,FoxBrush,6,4,2,13,19,16,3,1000.0,0,10,8,1.06,1.9
6,3,ValkyrieVolt,6,4,2,13,16,15,1,1000.0,0,10,10,0.8,1.6
6,4,LeonCrest,6,3,3,10,19,16,3,1000.0,1,9,9,1.06,2.11
6,5,ScorpioSpear,6,3,3,10,18,19,-1,1000.0,-1,10,11,0.86,1.8
6,6,ImpactDrake,6,3,3,9,18,19,-1,1000.0,0,12,13,0.72,1.5
6,7,SharkScale,6,2,4,7,17,18,-1,1000.0,0,11,12,0.74,1.55
6,8,GolemRock,6,0,6,0,7,26,-19,1000.0,0,5,12,0.41,1.4
7,1,TuskMammoth,7,5,2,17,26,15,11,1000.0,0,15,8,1.13,1.73
7,2,FoxBrush,7,5,2,16,23,18,5,1000.0,0,13,9,1.05,1.77
7,3,ScorpioSpear,7,4,3,13,23,20,3,1000.0,2,12,12,0.96,1.92
7,4,ImpactDrake,7,4,3,13,22,19,3,1000.0,2,14,13,0.81,1.57
7,5,ValkyrieVolt,7,4,3,13,18,19,-1,1000.0,-2,11,13,0.75,1.64
7,6,SharkScale,7,3,4,10,21,20,1,1000.0,1,13,13,0.81,1.62
7,7,LeonCrest,7,3,4,10,19,20,-1,1000.0,-3,9,11,0.95,2.11
7,8,GolemRock,7,0,7,0,9,30,-21,1000.0,0,6,14,0.45,1.5
