matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
4,10,ViperTail,4,0,4,0,4,18,-14,1000.0,0,2,10,0.33,2.0
5,1,LeonCrest,5,4,1,16,17,4,13,1000.0,2,10,3,1.31,1.7
5,2,ImpactDrake,5,4,1,15,20,7,13,1000.0,0,9,3,1.67,2.22
5,3,ScorpioSpear,5,4,1,15,17,7,10,1000.0,1,9,5,1.21,1.89
5,4,TuskMammoth,5,4,1,14,19,9,10,1000.0,-3,11,5,1.19,1.73
5,5,CobaltDragoon,5,3,2,10,14,11,3,1000.0,0,7,6,1.08,2.0
5,6,FoxBrush,5,2,3,6,10,21,-11,1000.0,2,5,11,0.62,2.0
5,7,CerberusFlame,5,1,4,4,11,16,-5,1000.0,-1,9,8,0.65,1.22
5,8,ViperTail,5,1,4,4,9,18,-9,1000.0,2,5,10,0.6,1.8
5,9,DranSword,5,1,4,3,7,18,-11,1000.0,-2,4,11,0.47,1.75
5,10,GolemRock,5,1,4,3,7,20,-13,1000.0,-1,4,11,0.47,1.75
6,1,LeonCrest,6,5,1,19,21,5,16,1000.0,0,12,4,1.31,1.75
6,2,ImpactDrake,6,4,2,15,22,11,11,1000.0,0,10,6,1.38,2.2
6,3,ScorpioSpear,6,4,2,15,17,12,5,1000.0,0,9,7,1.06,1.89
6,4,TuskMammoth,6,4,2,14,19,13,6,1000.0,0,11,8,1.0,1.73
6,5,CobaltDragoon,6,4,2,13,18,13,5,1000.0,0,10,7,1.06,1.8
6,6,ViperTail,6,2,4,8,14,18,-4,1000.0,2,7,10,0.82,2.0
6,7,GolemRock,6,2,4,7,11,20,-9,1000.0,3,7,11,0.61,1.57
6,8,DranSword,6,2,4,6,12,19,-7,1000.0,1,6,12,0.67,2.0
6,9,FoxBrush,6,2,4,6,11,26,-15,1000.0,-3,6,13,0.58,1.83
6,10,CerberusFlame,6,1,5,4,12,20,-8,1000.0,-3,10,10,0.6,1.2
7,1,LeonCrest,7,5,2,19,23,10,13,1000.0,0,13,6,1.21,1.77
7,2,ImpactDrake,7,5,2,18,27,14,13,1000.0,0,12,8,1.35,2.25
7,3,ScorpioSpear,7,5,2,18,22,14,8,1000.0,0,11,8,1.16,2.0
7,4,TuskMammoth,7,4,3,14,19,18,1,1000.0,0,11,10,0.9,1.73
7,5,CobaltDragoon,7,4,3,13,19,18,1,1000.0,0,11,10,0.9,1.73
7,6,DranSword,7,3,4,10,17,19,-2,1000.0,2,8,12,0.85,2.12
7,7,GolemRock,7,3,4,10,16,22,-6,1000.0,0,9,12,0.76,1.78
7,8,FoxBrush,7,3,4,9,16,27,-11,1000.0,1,9,14,0.7,1.78
7,9,ViperTail,7,2,5,8,16,23,-7,1000.0,-3,8,12,0.8,2.0
7,10,CerberusFlame,7,1,6,4,15,25,-10,1000.0,0,12,12,0.62,1.25
8,1,ImpactDrake,8,6,2,21,31,15,16,1000.0,1,14,9,1.35,2.21
8,2,LeonCrest,8,5,3,19,23,16,7,1000.0,-1,13,9,1.05,1.77
8,3,TuskMammoth,8,5,3,18,24,18,6,1000.0,1,13,10,1.04,1.85
8,4,ScorpioSpear,8,5,3,18,23,18,5,1000.0,-1,12,10,1.05,1.92
8,5,DranSword,8,4,4,13,21,21,0,1000.0,1,10,13,0.91,2.1
8,6,CobaltDragoon,8,4,4,13,19,23,-4,1000.0,-1,11,12,0.83,1.73
8,7,FoxBrush,8,4,4,13,21,27,-6,1000.0,1,11,14,0.84,1.91
8,8,ViperTail,8,3,5,12,22,23,-1,1000.0,1,11,12,0.96,2.0
8,9,GolemRock,8,3,5,10,18,26,-8,1000.0,-2,10,14,0.75,1.8
8,10,CerberusFlame,8,1,7,4,15,30,-15,1000.0,0,12,14,0.58,1.25
9,1,LeonCrest,9,6,3,22,27,19,8,1000.0,1,16,11,1.0,1.69
9,2,ImpactDrake,9,6,3,21,34,19,15,1000.0,-1,16,12,1.21,2.12
9,3,TuskMammoth,9,5,4,18,27,22,5,1000.0,0,15,12,1.0,1.8
9,4,ScorpioSpear,9,5,4,18,26,22,4,1000.0,0,14,12,1.0,1.86
9,5,FoxBrush,9,5,4,16,25,30,-5,1000.0,2,13,16,0.86,1.92
9,6,ViperTail,9,4,5,15,26,24,2,1000.0,2,13,13,1.0,2.0
9,7,DranSword,9,4,5,13,22,25,-3,1000.0,-2,11,15,0.85,2.0
9,8,CobaltDragoon,9,4,5,13,22,27,-5,1000.0,-2,13,14,0.81,1.69
9,9,GolemRock,9,4,5,13,22,29,-7,1000.0,0,12,16,0.79,1.83
9,10,CerberusFlame,9,2,7,7,19,33,-14,1000.0,0,14,16,0.63,1.36
