matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,WizardArc,1,1,0,4,4,0,4,1000.0,0,3,0,1.33,1.33
1,2,HellsBrave,1,1,0,3,4,1,3,1000.0,0,2,1,1.33,2.0
1,3,WolfHunt,1,1,0,3,4,2,2,1000.0,0,3,1,1.0,1.33
1,4,SolEclipse,1,1,0,3,4,3,1,1000.0,0,2,1,1.33,2.0
1,5,PhoenixRudder,1,0,1,0,3,4,-1,1000.0,0,1,2,1.0,3.0
1,6,CobaltDrake,1,0,1,0,2,4,-2,1000.0,0,1,3,0.5,2.0
1,7,HellsHammer,1,0,1,0,1,4,-3,1000.0,0,1,2,0.33,1.0
1,8,DranDagger,1,0,1,0,0,4,-4,1000.0,0,0,3,0.0,0.0
2,1,HellsBrave,2,2,0,7,9,1,8,1000.0,1,4,1,1.8,2.25
2,2,WizardArc,2,2,0,7,8,3,5,1000.0,-1,5,1,1.33,1.6
2,3,SolEclipse,2,2,0,6,9,5,4,1000.0,1,5,2,1.29,1.8
2,4,PhoenixRudder,2,1,1,3,7,6,1,1000.0,1,3,3,1.17,2.33
2,5,WolfHunt,2,1,1,3,6,6,0,1000.0,-2,4,3,0.86,1.5
2,6,HellsHammer,2,0,2,0,4,8,-4,1000.0,1,2,4,0.67,2.0
2,7,DranDagger,2,0,2,0,2,9,-7,1000.0,1,1,6,0.29,2.0
2,8,CobaltDrake,2,0,2,0,2,9,-7,1000.0,-2,1,5,0.33,2.0
3,1,WizardArc,3,3,0,11,12,3,9,1000.0,1,8,1,1.33,1.5
3,2,HellsBrave,3,3,0,10,13,2,11,1000.0,-1,6,2,1.62,2.17
3,3,SolEclipse,3,2,1,6,9,9,0,1000.0,0,5,5,0.9,1.8
3,4,DranDagger,3,1,2,4,7,9,-2,1000.0,3,3,6,0.78,2.33
3,5,PhoenixRudder,3,1,2,3,8,10,-2,1000.0,-1,4,5,0.89,2.0
3,6,HellsHammer,3,1,2,3,8,10,-2,1000.0,0,6,5,0.73,1.33
3,7,WolfHunt,3,1,2,3,6,11,-5,1000.0,-2,4,5,0.67,1.5
3,8,CobaltDrake,3,0,3,0,4,13,-9,1000.0,0,2,9,0.36,2.0
4,1,HellsBrave,4,4,0,13,18,4,14,1000.0,1,8,3,1.64,2.25
4,2,WizardArc,4,3,1,11,12,7,5,1000.0,-1,8,3,1.09,1.5
4,3,PhoenixRudder,4,2,2,6,13,12,1,1000.0,2,7,6,1.0,1.86
4,4,SolEclipse,4,2,2,6,12,14,-2,1000.0,-1,7,7,0.86,1.71
4,5,WolfHunt,4,2,2,6,11,14,-3,1000.0,2,6,7,0.85,1.83
4,6,DranDagger,4,1,3,4,9,14,-5,1000.0,-2,4,8,0.75,2.25
4,7,CobaltDrake,4,1,3,4,8,13,-5,1000.0,1,4,9,0.62,2.0
4,8,HellsHammer,4,1,3,3,10,15,-5,1000.0,-2,7,8,0.67,1.43
5,1,HellsBrave,5,5,0,16,23,6,17,1000.0,0,10,5,1.53,2.3
5,2,WizardArc,5,4,1,15,16,7,9,1000.0,0,11,3,1.14,1.45
5,3,PhoenixRudder,5,3,2,9,17,14,3,1000.0,0,9,7,1.06,1.89
5,4,HellsHammer,5,2,3,7,14,15,-1,1000.0,4,11,8,0.74,1.27
5,5,SolEclipse,5,2,3,6,14,19,-5,1000.0,-1,9,9,0.78,1.56
5,6,WolfHunt,5,2,3,6,11,18,-7,1000.0,-1,6,10,0.69,1.83
5,7,CobaltDrake,5,1,4,4,10,17,-7,1000.0,0,5,11,0.62,2.0
5,8,DranDagger,5,1,4,4,9,18,-9,1000.0,-2,4,12,0.56,2.25
6,1,HellsBrave,6,5,1,16,23,10,13,1000.0,0,10,8,1.28,2.3
6,2,WizardArc,6,4,2,15,17,12,5,1000.0,0,12,7,0.89,1.42
6,3,PhoenixRudder,6,4,2,12,22,15,7,1000.0,0,13,8,1.05,1.69
6,4,HellsHammer,6,3,3,10,18,16,2,1000.0,0,14,9,0.78,1.29
6,5,WolfHunt,6,3,3,10,15,18,-3,1000.0,1,9,10,0.79,1.67
6,6,CobaltDrake,6,2,4,7,14,20,-6,1000.0,1,7,13,0.7,2.0
6,7,SolEclipse,6,2,4,6,15,23,-8,1000.0,-2,10,12,0.68,1.5
6,8,DranDagger,6,1,5,4,12,22,-10,1000.0,0,6,14,0.6,2.0
7,1,HellsBrave,7,6,1,20,28,10,18,1000.0,0,13,8,1.33,2.15
7,2,WizardArc,7,4,3,15,17,17,0,1000.0,0,12,10,0.77,1.42
7,3,HellsHammer,7,4,3,13,22,17,5,1000.0,1,17,10,0.81,1.29
7,4,PhoenixRudder,7,4,3,12,22,19,3,1000.0,-1,13,10,0.96,1.69
7,5,WolfHunt,7,3,4,10,16,22,-6,1000.0,0,10,13,0.7,1.6
7,6,SolEclipse,7,3,4,9,20,25,-5,1000.0,1,12,13,0.8,1.67
7,7,DranDagger,7,2,5,8,16,22,-6,1000.0,1,8,14,0.73,2.0
7,8,CobaltDrake,7,2,5,7,16,25,-9,1000.0,-2,8,15,0.7,2.0
