matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,LeonCrest,1,1,0,4,4,0,4,1000.0,0,2,0,2.0,2.0
1,2,DranBrave,1,1,0,4,4,0,4,1000.0,0,2,0,2.0,2.0
1,3,ViperTail,1,1,0,4,4,0,4,1000.0,0,2,0,2.0,2.0
1,4,WeissTiger,1,1,0,4,4,0,4,1000.0,0,3,0,1.33,1.33
1,5,PhoenixWing,1,0,1,0,0,4,-4,1000.0,0,0,2,0.0,0.0
1,6,CerberusFlame,1,0,1,0,0,4,-4,1000.0,0,0,2,0.0,0.0
1,7,GolemRock,1,0,1,0,0,4,-4,1000.0,0,0,2,0.0,0.0
1,8,SilverWolf,1,0,1,0,0,4,-4,1000.0,0,0,3,0.0,0.0
2,1,DranBrave,2,2,0,7,9,2,7,1000.0,1,5,2,1.29,1.8
2,2,WeissTiger,2,2,0,7,8,1,7,1000.0,2,5,1,1.33,1.6
2,3,ViperTail,2,1,1,4,7,4,3,1000.0,0,4,4,0.88,1.75
2,4,LeonCrest,2,1,1,4,6,5,1,1000.0,-3,4,3,0.86,1.5
2,5,SilverWolf,2,1,1,3,4,6,-2,1000.0,3,3,4,0.57,1.33
2,6,CerberusFlame,2,1,1,3,4,7,-3,1000.0,0,4,4,0.5,1.0
2,7,PhoenixWing,2,0,2,0,2,8,-6,1000.0,-2,1,5,0.33,2.0
2,8,GolemRock,2,0,2,0,1,8,-7,1000.0,-1,1,4,0.2,1.0
3,1,DranBrave,3,3,0,10,13,4,9,1000.0,0,7,3,1.3,1.86
3,2,LeonCrest,3,2,1,8,10,5,5,1000.0,2,6,3,1.11,1.67
3,3,WeissTiger,3,2,1,7,9,5,4,1000.0,-1,6,5,0.82,1.5
3,4,CerberusFlame,3,2,1,6,8,8,0,1000.0,2,8,5,0.62,1.0
3,5,SilverWolf,3,2,1,6,8,8,0,1000.0,0,6,5,0.73,1.33
3,6,ViperTail,3,1,2,4,7,8,-1,1000.0,-3,4,6,0.7,1.75
3,7,PhoenixWing,3,0,3,0,4,12,-8,1000.0,0,2,7,0.44,2.0
3,8,GolemRock,3,0,3,0,3,12,-9,1000.0,0,2,7,0.33,1.5
4,1,WeissTiger,4,3,1,11,14,5,9,1000.0,2,8,5,1.08,1.75
4,2,DranBrave,4,3,1,10,15,8,7,1000.0,-1,8,5,1.15,1.88
4,3,SilverWolf,4,3,1,9,12,9,3,1000.0,2,10,6,0.75,1.2
4,4,LeonCrest,4,2,2,8,10,10,0,1000.0,-2,6,5,0.91,1.67
4,5,ViperTail,4,2,2,7,11,10,1,1000.0,1,6,7,0.85,1.83
4,6,CerberusFlame,4,2,2,6,9,12,-3,1000.0,-2,9,9,0.5,1.0
4,7,PhoenixWing,4,1,3,4,8,12,-4,1000.0,0,4,7,0.73,2.0
4,8,GolemRock,4,0,4,0,3,16,-13,1000.0,0,2,9,0.27,1.5
5,1,WeissTiger,5,4,1,15,20,5,15,1000.0,0,11,5,1.25,1.82
5,2,SilverWolf,5,4,1,13,16,9,7,1000.0,1,13,6,0.84,1.23
5,3,ViperTail,5,3,2,11,16,10,6,1000.0,2,8,7,1.07,2.0
5,4,DranBrave,5,3,2,10,15,14,1,1000.0,-2,8,8,0.94,1.88
5,5,LeonCrest,5,2,3,8,10,14,-4,1000.0,-1,6,8,0.71,1.67
5,6,CerberusFlame,5,2,3,6,9,16,-7,1000.0,0,9,13,0.41,1.0
5,7,PhoenixWing,5,1,4,4,8,17,-9,1000.0,0,4,9,0.62,2.0
5,8,GolemRock,5,1,4,4,7,16,-9,1000.0,0,6,9,0.47,1.17
6,1,WeissTiger,6,5,1,18,24,7,17,1000.0,0,14,7,1.14,1.71
6,2,SilverWolf,6,5,1,16,20,12,8,1000.0,0,17,7,0.83,1.18
6,3,ViperTail,6,3,3,11,18,14,4,1000.0,0,10,10,0.9,1.8
6,4,DranBrave,6,3,3,10,18,18,0,1000.0,0,9,12,0.86,2.0
6,5,CerberusFlame,6,3,3,9,13,18,-5,1000.0,1,13,14,0.48,1.0
6,6,GolemRock,6,2,4,8,11,16,-5,1000.0,2,9,9,0.61,1.22
6,7,LeonCrest,6,2,4,8,10,18,-8,1000.0,-2,6,11,0.59,1.67
6,8,PhoenixWing,6,1,5,4,10,21,-11,1000.0,-1,5,13,0.56,2.0
