bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
FoxBrush,7,6,1,85.71,31,12,19,24,18,6,12,1.292,3.43,4.43,2,7,2,7,2,0,2,2,18,11.11,61.11,2,0,2,0.917,1,14.29,2,1,4.57,4.65,0.79
WeissTiger,6,5,1,83.33,24,7,17,21,14,7,7,1.143,3.5,4.0,2,4,2,6,0,0,0,7,14,14.29,57.14,0,0,0,1.0,0,0.0,0,0,4.17,4.55,1.67
TriceraPress,6,4,2,66.67,21,9,12,15,11,4,7,1.4,2.5,3.5,1,7,1,2,0,1,2,1,11,9.09,81.82,0,1,2,1.0,0,0.0,0,0,3.58,4.1,1.87
HellsChain,6,5,1,83.33,22,11,11,23,18,5,13,0.957,3.83,3.67,2,2,0,14,1,1,2,1,18,11.11,22.22,1,1,2,0.957,1,16.67,0,0,4.0,3.27,0.82
LeonClaw,6,4,2,66.67,19,12,7,19,12,7,5,1.0,3.17,3.17,2,1,2,7,1,4,0,2,12,16.67,41.67,1,4,0,0.947,0,0.0,2,2,3.33,2.67,1.83
DranSword,7,5,2,71.43,22,16,6,22,13,9,4,1.0,3.14,3.14,1,4,2,6,0,5,1,3,13,7.69,53.85,0,5,1,1.0,1,14.29,1,1,3.14,2.36,1.57
ImpactDrake,9,4,5,44.44,33,26,7,34,17,17,0,0.971,3.78,3.67,1,5,5,6,1,8,0,8,17,5.88,64.71,1,8,0,0.971,0,0.0,1,0,3.5,2.23,1.66
DranDagger,6,4,2,66.67,20,16,4,21,9,12,-3,0.952,3.5,3.33,2,4,2,0,1,1,1,9,8,22.22,88.89,1,1,1,0.952,0,0.0,3,1,3.17,2.1,1.97
KnightMail,4,3,1,75.0,13,9,4,18,11,7,4,0.722,4.5,3.25,0,2,0,9,0,2,0,5,11,0.0,18.18,0,2,0,1.0,0,0.0,2,1,3.25,2.08,1.5
ViperTail,6,3,3,50.0,18,14,4,20,10,10,0,0.9,3.33,3.0,4,1,1,3,0,4,0,6,9,40.0,60.0,0,4,0,1.0,0,0.0,0,0,3.25,2.02,1.79
DranBuster,6,3,3,50.0,18,16,2,19,9,10,-1,0.947,3.17,3.0,3,4,1,1,0,6,0,4,9,33.33,88.89,0,6,0,1.0,0,0.0,1,1,3.42,1.75,1.55
PhoenixRudder,6,3,3,50.0,16,14,2,17,10,7,3,0.941,2.83,2.67,0,4,1,5,3,4,0,0,10,0.0,50.0,3,4,0,0.824,0,0.0,1,1,2.58,1.75,1.97
HellsBrave,9,5,4,55.56,29,26,3,31,15,16,-1,0.935,3.44,3.22,2,7,2,3,1,7,1,7,14,13.33,73.33,1,7,1,0.968,1,11.11,2,2,3.11,1.74,1.64
TuskMammoth,7,4,3,57.14,20,17,3,23,13,10,3,0.87,3.29,2.86,2,3,1,7,0,7,0,3,13,15.38,46.15,0,7,0,1.0,0,0.0,1,1,3.07,1.73,1.86
SilverWolf,9,6,3,66.67,26,23,3,35,22,13,9,0.743,3.89,2.89,1,3,0,18,4,4,1,4,22,4.55,18.18,4,4,1,0.886,1,11.11,0,0,3.0,1.45,1.69
WizardArc,6,3,3,50.0,16,14,2,22,12,10,2,0.727,3.67,2.67,1,3,0,8,1,3,0,6,12,8.33,33.33,1,3,0,0.955,0,0.0,0,0,2.83,1.42,1.63
DranBrave,6,3,3,50.0,18,18,0,21,9,12,-3,0.857,3.5,3.0,0,6,1,1,1,3,1,7,8,0.0,77.78,1,3,1,0.952,0,0.0,1,0,2.58,1.29,1.79
RhinoReaper,6,2,4,33.33,17,16,1,24,13,11,2,0.708,4.0,2.83,2,2,0,9,1,2,1,7,13,15.38,30.77,1,2,1,0.958,0,0.0,0,0,3.17,1.23,0.98
HellsReaper,5,3,2,60.0,14,14,0,19,7,12,-5,0.737,3.8,2.8,0,5,1,1,1,1,0,10,7,0.0,85.71,1,1,0,0.947,0,0.0,3,2,2.7,1.11,2.59
ValkyrieVolt,6,3,3,50.0,18,19,-1,27,12,15,-3,0.667,4.5,3.0,2,4,0,6,1,3,0,11,12,16.67,50.0,1,3,0,0.963,1,16.67,1,1,3.33,0.83,1.55
