matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,HellsChain,1,1,0,3,4,2,2,1000.0,0,3,1,1.0,1.33
1,2,UnicornSting,1,1,0,3,4,2,2,1000.0,0,2,1,1.33,2.0
1,3,LeonClaw,1,1,0,3,4,2,2,1000.0,0,3,1,1.0,1.33
1,4,SharkEdge,1,1,0,3,4,3,1,1000.0,0,2,2,1.0,2.0
1,5,SilverWolf,1,1,0,3,4,3,1,1000.0,0,4,2,0.67,1.0
1,6,WizardRod,1,0,1,0,3,4,-1,1000.0,0,2,2,0.75,1.5
1,7,WhaleWave,1,0,1,0,3,4,-1,1000.0,0,2,4,0.5,1.5
1,8,CrimsonGaruda,1,0,1,0,2,4,-2,1000.0,0,1,3,0.5,2.0
1,9,RhinoReaper,1,0,1,0,2,4,-2,1000.0,0,1,2,0.67,2.0
1,10,ValkyrieVolt,1,0,1,0,2,4,-2,1000.0,0,1,3,0.5,2.0
2,1,HellsChain,2,2,0,7,8,2,6,1000.0,0,5,1,1.33,1.6
2,2,LeonClaw,2,2,0,6,9,4,5,1000.0,1,6,2,1.12,1.5
2,3,ValkyrieVolt,2,1,1,4,6,4,2,1000.0,7,3,3,1.0,2.0
2,4,WizardRod,2,1,1,3,7,6,1,1000.0,2,5,3,0.88,1.4
2,5,RhinoReaper,2,1,1,3,6,6,0,1000.0,4,5,4,0.67,1.2
2,6,SilverWolf,2,1,1,3,6,7,-1,1000.0,-1,6,6,0.5,1.0
2,7,UnicornSting,2,1,1,3,4,6,-2,1000.0,-5,2,3,0.8,2.0
2,8,SharkEdge,2,1,1,3,4,7,-3,1000.0,-4,2,4,0.67,2.0
2,9,WhaleWave,2,0,2,0,5,8,-3,1000.0,-2,3,7,0.5,1.67
2,10,CrimsonGaruda,2,0,2,0,4,9,-5,1000.0,-2,2,6,0.5,2.0
3,1,LeonClaw,3,3,0,9,13,7,6,1000.0,1,8,3,1.18,1.62
3,2,ValkyrieVolt,3,2,1,8,10,4,6,1000.0,1,5,3,1.25,2.0
3,3,HellsChain,3,2,1,7,10,7,3,1000.0,-2,7,3,1.0,1.43
3,4,UnicornSting,3,2,1,7,8,6,2,1000.0,3,4,3,1.14,2.0
3,5,RhinoReaper,3,2,1,6,11,7,4,1000.0,0,8,5,0.85,1.38
3,6,SilverWolf,3,2,1,6,11,9,2,1000.0,0,8,8,0.69,1.38
3,7,WizardRod,3,1,2,3,8,11,-3,1000.0,-3,6,6,0.67,1.33
3,8,SharkEdge,3,1,2,3,7,11,-4,1000.0,0,3,6,0.78,2.33
3,9,WhaleWave,3,0,3,0,5,12,-7,1000.0,0,3,9,0.42,1.67
3,10,CrimsonGaruda,3,0,3,0,4,13,-9,1000.0,0,2,8,0.4,2.0
4,1,LeonClaw,4,4,0,13,17,7,10,1000.0,0,10,3,1.31,1.7
4,2,ValkyrieVolt,4,3,1,11,15,7,8,1000.0,0,7,6,1.15,2.14
4,3,HellsChain,4,3,1,11,14,7,7,1000.0,0,9,3,1.17,1.56
4,4,UnicornSting,4,2,2,7,8,10,-2,1000.0,0,4,5,0.89,2.0
4,5,RhinoReaper,4,2,2,6,14,12,2,1000.0,0,11,7,0.78,1.27
4,6,SharkEdge,4,2,2,6,11,12,-1,1000.0,2,5,7,0.92,2.2
4,7,SilverWolf,4,2,2,6,11,13,-2,1000.0,-1,8,10,0.61,1.38
4,8,CrimsonGaruda,4,1,3,4,8,13,-5,1000.0,2,4,8,0.67,2.0
4,9,WizardRod,4,1,3,3,8,15,-7,1000.0,-2,6,8,0.57,1.33
4,10,WhaleWave,4,0,4,0,6,16,-10,1000.0,-1,4,11,0.4,1.5
5,1,ValkyrieVolt,5,4,1,15,20,7,13,1000.0,1,9,6,1.33,2.22
5,2,LeonClaw,5,4,1,13,19,11,8,1000.0,-1,11,5,1.19,1.73
5,3,HellsChain,5,3,2,11,14,12,2,1000.0,0,9,5,1.0,1.56
5,4,SilverWolf,5,3,2,9,16,16,0,1000.0,3,10,12,0.73,1.6
5,5,SharkEdge,5,3,2,9,15,15,0,1000.0,1,7,9,0.94,2.14
