matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,HellsChain,1,1,0,4,4,0,4,1000.0,0,3,0,1.33,1.33
1,2,RhinoReaper,1,1,0,4,4,0,4,1000.0,0,3,0,1.33,1.33
1,3,HellsBrave,1,1,0,3,5,2,3,1000.0,0,2,1,1.67,2.5
1,4,KnightMail,1,1,0,3,4,1,3,1000.0,0,4,1,0.8,1.0
1,5,WyvernHover,1,0,1,0,2,5,-3,1000.0,0,1,2,0.67,2.0
1,6,PerseusDark,1,0,1,0,1,4,-3,1000.0,0,1,4,0.2,1.0
1,7,WizardArc,1,0,1,0,0,4,-4,1000.0,0,0,3,0.0,0.0
1,8,HellsReaper,1,0,1,0,0,4,-4,1000.0,0,0,3,0.0,0.0
2,1,HellsChain,2,2,0,7,8,3,5,1000.0,0,6,1,1.14,1.33
2,2,KnightMail,2,2,0,6,8,3,5,1000.0,2,7,2,0.89,1.14
2,3,RhinoReaper,2,1,1,4,6,4,2,1000.0,-1,4,2,1.0,1.5
2,4,PerseusDark,2,1,1,4,5,4,1,1000.0,2,4,4,0.62,1.25
2,5,HellsBrave,2,1,1,3,8,6,2,1000.0,-2,3,4,1.14,2.67
2,6,WyvernHover,2,1,1,3,6,7,-1,1000.0,-1,3,3,1.0,2.0
2,7,WizardArc,2,0,2,0,2,8,-6,1000.0,0,1,6,0.29,2.0
2,8,HellsReaper,2,0,2,0,0,8,-8,1000.0,0,0,6,0.0,0.0
3,1,HellsChain,3,3,0,11,12,3,9,1000.0,0,8,1,1.33,1.5
3,2,KnightMail,3,3,0,9,12,5,7,1000.0,0,10,3,0.92,1.2
3,3,RhinoReaper,3,2,1,8,10,4,6,1000.0,0,8,2,1.0,1.25
3,4,PerseusDark,3,1,2,4,5,8,-3,1000.0,0,4,8,0.42,1.25
3,5,HellsBrave,3,1,2,3,10,10,0,1000.0,0,4,7,0.91,2.5
3,6,WyvernHover,3,1,2,3,6,11,-5,1000.0,0,3,5,0.75,2.0
3,7,HellsReaper,3,1,2,3,4,10,-6,1000.0,1,2,8,0.4,2.0
3,8,WizardArc,3,0,3,0,4,12,-8,1000.0,-1,3,8,0.36,1.33
4,1,HellsChain,4,4,0,14,16,4,12,1000.0,0,12,2,1.14,1.33
4,2,KnightMail,4,3,1,9,13,9,4,1000.0,0,11,7,0.72,1.18
4,3,RhinoReaper,4,2,2,8,12,8,4,1000.0,0,10,5,0.8,1.2
4,4,PerseusDark,4,2,2,7,9,10,-1,1000.0,0,6,9,0.6,1.5
4,5,HellsReaper,4,2,2,6,9,12,-3,1000.0,2,5,10,0.6,1.8
4,6,HellsBrave,4,1,3,3,12,15,-3,1000.0,-1,6,10,0.75,2.0
4,7,WizardArc,4,1,3,3,8,14,-6,1000.0,1,6,10,0.5,1.33
4,8,WyvernHover,4,1,3,3,8,15,-7,1000.0,-2,4,7,0.73,2.0
5,1,HellsChain,5,4,1,14,18,9,9,1000.0,0,14,4,1.0,1.29
5,2,KnightMail,4,3,1,9,13,9,4,1000.0,0,11,7,0.72,1.18
5,3,HellsReaper,5,3,2,9,14,14,0,1000.0,2,7,12,0.74,2.0
5,4,RhinoReaper,5,2,3,8,15,12,3,1000.0,-1,12,7,0.79,1.25
5,5,WizardArc,5,2,3,7,12,14,-2,1000.0,2,10,10,0.6,1.2
5,6,PerseusDark,5,2,3,7,9,14,-5,1000.0,-2,6,13,0.47,1.5
5,7,HellsBrave,5,2,3,6,16,18,-2,1000.0,-1,8,12,0.8,2.0
5,8,WyvernHover,4,1,3,3,8,15,-7,1000.0,0,4,7,0.73,2.0
6,1,HellsChain,6,5,1,17,22,11,11,1000.0,0,18,5,0.96,1.22
6,2,WizardArc,6,3,3,11,16,14,2,1000.0,3,12,10,0.73,1.33
6,3,KnightMail,4,3,1,9,13,9,4,1000.0,-1,11,7,0.72,1.18
6,4,HellsBrave,6,3,3,9,21,20,1,1000.0,3,11,13,0.88,1.91
6,5,HellsReaper,5,3,2,9,14,14,0,1000.0,-2,7,12,0.74,2.0
6,6,RhinoReaper,6,2,4,8,17,16,1,1000.0,-2,13,11,0.71,1.31
6,7,PerseusDark,6,2,4,7,11,19,-8,1000.0,-1,7,16,0.48,1.57
6,8,WyvernHover,5,1,4,3,8,19,-11,1000.0,0,4,9,0.62,2.0
