matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,PerseusDark,1,1,0,4,5,0,5,1000.0,0,2,0,2.5,2.5
1,2,HellsReaper,1,1,0,4,4,0,4,1000.0,0,4,0,1.0,1.0
1,3,RhinoReaper,1,1,0,3,5,3,2,1000.0,0,2,3,1.0,2.5
1,4,LeonClaw,1,1,0,3,4,2,2,1000.0,0,2,1,1.33,2.0
1,5,SilverWolf,1,0,1,0,3,5,-2,1000.0,0,3,2,0.6,1.0
1,6,HellsChain,1,0,1,0,2,4,-2,1000.0,0,1,2,0.67,2.0
1,7,SharkEdge,1,0,1,0,0,4,-4,1000.0,0,0,4,0.0,0.0
1,8,PhoenixWing,1,0,1,0,0,5,-5,1000.0,0,0,2,0.0,0.0
2,1,PerseusDark,2,2,0,7,10,2,8,1000.0,0,5,1,1.67,2.0
2,2,RhinoReaper,2,2,0,6,9,5,4,1000.0,1,5,4,1.0,1.8
2,3,HellsChain,2,1,1,4,7,4,3,1000.0,3,3,2,1.4,2.33
2,4,SilverWolf,2,1,1,4,7,5,2,1000.0,1,6,2,0.88,1.17
2,5,HellsReaper,2,1,1,4,6,5,1,1000.0,-3,5,3,0.75,1.2
2,6,LeonClaw,2,1,1,3,6,6,0,1000.0,-2,3,4,0.86,2.0
2,7,SharkEdge,2,0,2,0,0,8,-8,1000.0,0,0,7,0.0,0.0
2,8,PhoenixWing,2,0,2,0,0,10,-10,1000.0,0,0,4,0.0,0.0
3,1,SilverWolf,3,2,1,8,11,5,6,1000.0,3,10,2,0.92,1.1
3,2,HellsChain,3,2,1,7,11,5,6,1000.0,1,7,3,1.1,1.57
3,3,HellsReaper,3,2,1,7,11,7,4,1000.0,2,7,4,1.0,1.57
3,4,PerseusDark,3,2,1,7,10,6,4,1000.0,-3,5,5,1.0,2.0
3,5,LeonClaw,3,2,1,6,11,8,3,1000.0,1,6,5,1.0,1.83
3,6,RhinoReaper,3,2,1,6,10,9,1,1000.0,-4,6,8,0.71,1.67
3,7,SharkEdge,3,0,3,0,2,13,-11,1000.0,0,1,10,0.18,2.0
3,8,PhoenixWing,3,0,3,0,2,15,-13,1000.0,0,1,6,0.29,2.0
4,1,SilverWolf,4,3,1,11,15,7,8,1000.0,0,13,3,0.94,1.15
4,2,HellsChain,4,3,1,10,15,8,7,1000.0,0,10,4,1.07,1.5
4,3,PerseusDark,4,3,1,10,14,8,6,1000.0,1,7,6,1.08,2.0
4,4,HellsReaper,4,2,2,7,13,11,2,1000.0,-1,8,7,0.87,1.62
4,5,LeonClaw,4,2,2,6,13,12,1,1000.0,0,7,7,0.93,1.86
4,6,RhinoReaper,4,2,2,6,10,14,-4,1000.0,0,6,10,0.62,1.67
4,7,PhoenixWing,4,1,3,4,7,15,-8,1000.0,1,3,6,0.78,2.33
4,8,SharkEdge,4,0,4,0,5,17,-12,1000.0,-1,2,13,0.33,2.5
5,1,PerseusDark,5,4,1,13,18,9,9,1000.0,2,9,7,1.12,2.0
5,2,SilverWolf,5,3,2,11,16,11,5,1000.0,-1,14,5,0.84,1.14
5,3,HellsChain,5,3,2,10,16,12,4,1000.0,-1,11,6,0.94,1.45
5,4,LeonClaw,5,3,2,9,17,15,2,1000.0,1,10,9,0.89,1.7
5,5,HellsReaper,5,2,3,7,16,15,1,1000.0,-1,10,10,0.8,1.6
5,6,PhoenixWing,5,2,3,7,11,16,-5,1000.0,1,5,7,0.92,2.2
5,7,RhinoReaper,5,2,3,6,12,18,-6,1000.0,-1,7,12,0.63,1.71
5,8,SharkEdge,5,1,4,3,9,19,-10,1000.0,0,4,14,0.5,2.25
6,1,SilverWolf,6,4,2,14,20,13,7,1000.0,1,17,6,0.87,1.18
6,2,PerseusDark,6,4,2,13,20,13,7,1000.0,-1,11,10,0.95,1.82
6,3,HellsReaper,6,3,3,11,21,15,6,1000.0,2,13,10,0.91,1.62
6,4,PhoenixWing,6,3,3,11,15,16,-1,1000.0,2,7,7,1.07,2.14
6,5,HellsChain,6,3,3,10,16,17,-1,1000.0,-2,11,9,0.8,1.45
6,6,LeonClaw,6,3,3,9,19,19,0,1000.0,-2,11,12,0.83,1.73
6,7,RhinoReaper,6,3,3,9,16,20,-4,1000.0,0,10,14,0.67,1.6
6,8,SharkEdge,6,1,5,3,9,23,-14,1000.0,0,4,16,0.45,2.25
7,1,SilverWolf,7,4,3,14,21,17,4,1000.0,0,18,9,0.78,1.17
7,2,PhoenixWing,7,4,3,14,19,19,0,1000.0,2,9,9,1.06,2.11
7,3,PerseusDark,7,4,3,13,21,17,4,1000.0,-1,12,12,0.88,1.75
7,4,HellsChain,7,4,3,13,20,18,2,1000.0,1,14,10,0.83,1.43
7,5,RhinoReaper,7,4,3,12,21,23,-2,1000.0,2,13,15,0.75,1.62
7,6,HellsReaper,7,3,4,11,24,20,4,1000.0,-3,14,13,0.89,1.71
7,7,LeonClaw,7,3,4,9,22,23,-1,1000.0,-1,13,14,0.81,1.69
7,8,SharkEdge,7,2,5,6,13,24,-11,1000.0,0,6,17,0.57,2.17
