Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1191,23,19,4,82.6%,100,39,61,→ 0,+9
2,ImpactDrake,1160,38,28,10,73.7%,149,82,67,→ 0,+12
3,SharkScale,1129,25,18,7,72.0%,101,56,45,→ 0,-1
4,HellsBrave,1088,7,6,1,85.7%,29,8,21,▲ 1,+10
5,TuskMammoth,1084,50,32,18,64.0%,170,132,38,▼ 1,+1
6,FoxBrush,1084,30,20,10,66.7%,99,78,21,▲ 2,+18
7,DranBrave,1074,28,17,11,60.7%,90,67,23,▲ 3,+28
8,GolemRock,1059,32,18,14,56.2%,96,80,16,▼ 2,-12
9,ScorpioSpear,1046,31,17,14,54.8%,97,85,12,▼ 2,-21
10,LeonCrest,1040,31,16,15,51.6%,89,89,0,▼ 1,-11
11,ViperTail,1040,23,12,11,52.2%,71,63,8,→ 0,-5
12,CobaltDragoon,1038,27,15,12,55.6%,85,70,15,→ 0,+5
13,SilverWolf,1029,21,11,10,52.4%,65,57,8,▲ 1,+1
14,TyrannoRoar,1029,7,5,2,71.4%,24,14,10,▼ 1,0
15,WizardArc,1026,20,11,9,55.0%,64,58,6,▲ 7,+18
16,HellsChain,1026,25,13,12,52.0%,75,62,13,→ 0,+1
17,RhinoReaper,1023,23,12,11,52.2%,79,72,7,▲ 4,+14
18,DranSword,1022,28,15,13,53.6%,80,82,-2,▼ 1,0
19,CerberusFlame,1019,30,15,15,50.0%,80,83,-3,▲ 6,+17
20,WolfHunt,1017,9,5,4,55.6%,25,21,4,▼ 2,-5
21,WeissTiger,1015,25,13,12,52.0%,70,66,4,▼ 2,-4
22,PerseusDark,1015,25,13,12,52.0%,72,67,5,▲ 5,+19
23,HellsReaper,1011,23,11,12,47.8%,66,62,4,▼ 3,+2
24,KnightMail,1007,27,13,14,48.1%,75,73,2,▼ 9,-18
25,LeonClaw,999,23,11,12,47.8%,62,69,-7,▲ 1,+2
26,CobaltDrake,993,17,7,10,41.2%,52,54,-2,▼ 2,-10
27,CrimsonGaruda,983,27,12,15,44.4%,73,81,-8,▲ 2,0
28,PhoenixRudder,981,15,7,8,46.7%,36,45,-9,▲ 2,-1
29,WyvernHover,972,12,5,7,41.7%,26,35,-9,▼ 6,-34
30,SharkEdge,969,27,12,15,44.4%,68,85,-17,▼ 2,-18
31,ClockMirage,969,7,3,4,42.9%,15,23,-8,→ 0,0
32,UnicornSting,966,23,10,13,43.5%,60,69,-9,▲ 1,0
33,EmperorMight,965,9,3,6,33.3%,18,26,-8,▲ 1,0
34,SolEclipse,960,21,8,13,38.1%,56,71,-15,▲ 5,+23
35,WhaleWave,954,28,12,16,42.9%,69,92,-23,→ 0,0
36,DranDagger,947,28,11,17,39.3%,72,97,-25,▼ 4,-21
37,PegasusBlast,941,12,4,8,33.3%,26,41,-15,▲ 1,0
38,WhaleFlame,935,8,2,6,25.0%,13,29,-16,▲ 2,0
39,HellsHammer,932,11,3,8,27.3%,23,42,-19,▼ 2,-14
40,PhoenixWing,927,31,12,19,38.7%,68,107,-39,▼ 4,-24
41,WizardRod,921,24,8,16,33.3%,53,82,-29,→ 0,0
42,BlackShell,915,12,3,9,25.0%,17,42,-25,→ 0,0
43,DranBuster,902,13,3,10,23.1%,24,46,-22,→ 0,0
44,SamuraiSaber,901,15,3,12,20.0%,26,52,-26,→ 0,0
45,TyrannoBeat,895,15,3,12,20.0%,22,54,-32,→ 0,0
46,WizardArrow,883,10,1,9,10.0%,15,37,-22,→ 0,0
