Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1204,25,21,4,84.0%,108,42,66,→ 0,+13
2,ImpactDrake,1142,40,28,12,70.0%,153,91,62,→ 0,-17
3,HellsBrave,1131,10,9,1,90.0%,43,11,32,▲ 1,+43
4,SharkScale,1116,27,18,9,66.7%,106,64,42,▼ 1,-13
5,TuskMammoth,1096,52,34,18,65.4%,179,137,42,→ 0,+12
6,FoxBrush,1078,32,21,11,65.6%,104,84,20,→ 0,-6
7,DranBrave,1065,30,18,12,60.0%,94,74,20,→ 0,-9
8,ScorpioSpear,1065,33,19,14,57.6%,105,90,15,▲ 1,+19
9,SilverWolf,1050,23,13,10,56.5%,73,59,14,▲ 4,+21
10,LeonCrest,1046,33,17,16,51.5%,97,94,3,→ 0,+6
11,GolemRock,1042,34,18,16,52.9%,98,88,10,▼ 3,-17
12,HellsChain,1040,27,15,12,55.6%,83,66,17,▲ 4,+14
13,ViperTail,1038,25,13,12,52.0%,75,67,8,▼ 2,-2
14,CobaltDragoon,1038,29,16,13,55.2%,92,77,15,▼ 2,-1
15,DranSword,1035,30,17,13,56.7%,89,86,3,▲ 3,+13
16,TyrannoRoar,1029,7,5,2,71.4%,24,14,10,▼ 2,0
17,TriceraPress,1022,3,2,1,66.7%,12,5,7,→ 0,+22
18,WizardArc,1020,22,12,10,54.5%,68,62,6,▼ 3,-6
19,CerberusFlame,1020,32,16,16,50.0%,87,88,-1,→ 0,+1
20,WeissTiger,1016,27,14,13,51.9%,76,73,3,▲ 1,0
21,KnightMail,1012,29,14,15,48.3%,81,78,3,▲ 3,+5
22,PerseusDark,1011,27,14,13,51.9%,76,73,3,→ 0,-4
23,HellsReaper,1011,25,12,13,48.0%,73,68,5,→ 0,0
24,CobaltDrake,1010,23,11,12,47.8%,71,70,1,▲ 2,+17
25,WolfHunt,1001,11,6,5,54.5%,30,29,1,▼ 5,-16
26,LeonClaw,1000,25,12,13,48.0%,69,75,-6,▼ 1,+1
27,RhinoReaper,1000,25,12,13,48.0%,80,81,-1,▼ 10,-23
28,CrimsonGaruda,983,27,12,15,44.4%,73,81,-8,▼ 1,0
29,PhoenixRudder,983,17,8,9,47.1%,42,51,-9,▼ 1,+2
30,SamuraiSteel,981,3,1,2,33.3%,7,9,-2,→ 0,-19
31,ClockMirage,969,7,3,4,42.9%,15,23,-8,→ 0,0
32,UnicornSting,966,23,10,13,43.5%,60,69,-9,→ 0,0
33,EmperorMight,965,9,3,6,33.3%,18,26,-8,→ 0,0
34,DranDagger,960,30,12,18,40.0%,79,102,-23,▲ 2,+13
35,SharkEdge,955,29,12,17,41.4%,73,94,-21,▼ 5,-14
36,WhaleWave,954,28,12,16,42.9%,69,92,-23,▼ 1,0
37,WyvernHover,951,14,5,9,35.7%,30,43,-13,▼ 8,-20
38,SolEclipse,945,23,8,15,34.8%,59,80,-21,▼ 4,-15
39,SamuraiCalibur,943,3,0,3,0.0%,3,14,-11,→ 0,-57
40,PegasusBlast,941,12,4,8,33.3%,26,41,-15,▼ 3,0
41,PhoenixWing,940,33,13,20,39.4%,75,112,-37,▼ 1,+13
42,HellsHammer,938,13,4,9,30.8%,29,49,-20,▼ 3,+6
43,WhaleFlame,935,8,2,6,25.0%,13,29,-16,▼ 5,0
44,WizardRod,921,24,8,16,33.3%,53,82,-29,▼ 3,0
45,BlackShell,915,12,3,9,25.0%,17,42,-25,▼ 3,0
46,DranBuster,902,13,3,10,23.1%,24,46,-22,▼ 3,0
47,SamuraiSaber,901,15,3,12,20.0%,26,52,-26,▼ 3,0
48,TyrannoBeat,895,15,3,12,20.0%,22,54,-32,▼ 3,0
49,WizardArrow,883,10,1,9,10.0%,15,37,-22,▼ 3,0
