Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
615,1,0,1,2026-05-10,ClockMirage,1024,3,1,1,0,1.0
615,1,0,1,2026-05-10,WhaleFlame,980,15,1,0,1,0.0
615,1,0,1,2026-05-10,DranBuster,977,17,1,0,1,0.0
615,1,0,1,2026-05-10,GhostCircle,980,16,1,0,1,0.0
615,1,1,0,2026-05-10,PegasusBlast,981,14,1,0,1,0.0
615,2,1,0,2026-05-10,DranDagger,1045,2,2,2,0,1.0
615,1,0,1,2026-05-10,CrimsonGaruda,976,18,1,0,1,0.0
615,4,0,1,2026-05-10,SamuraiCalibur,921,19,4,0,4,0.0
616,1,0,1,2026-05-10,ClockMirage,1024,4,1,1,0,1.0
616,4,0,1,2026-05-10,SamuraiSteel,1000,9,4,2,2,0.5
616,1,0,1,2026-05-10,WolfHunt,1013,8,1,1,0,1.0
616,2,1,0,2026-05-10,TyrannoRoar,992,10,2,1,1,0.5
616,2,1,0,2026-05-10,TyrannoBeat,1042,3,2,2,0,1.0
617,2,1,0,2026-05-10,ClockMirage,1039,4,2,2,0,1.0
617,1,0,1,2026-05-10,WhaleFlame,980,16,1,0,1,0.0
617,1,0,1,2026-05-10,DranBuster,977,18,1,0,1,0.0
617,1,0,1,2026-05-10,PegasusBlast,981,15,1,0,1,0.0
617,1,0,1,2026-05-10,GhostCircle,980,17,1,0,1,0.0
617,1,0,1,2026-05-10,SolEclipse,987,13,1,0,1,0.0
617,1,0,1,2026-05-10,UnicornSting,986,14,1,0,1,0.0
617,1,0,1,2026-05-10,CrimsonGaruda,976,19,1,0,1,0.0
617,1,1,0,2026-05-10,WizardRod,988,11,1,0,1,0.0
617,4,0,1,2026-05-10,SamuraiCalibur,921,20,4,0,4,0.0
617,1,0,1,2026-05-10,PhoenixFlare,987,12,1,0,1,0.0
618,2,1,0,2026-05-10,WhaleWave,991,11,2,1,1,0.5
618,1,1,0,2026-05-10,MeteorDragoon,1021,5,1,1,0,1.0
618,1,0,1,2026-05-10,WhaleFlame,980,17,1,0,1,0.0
618,1,0,1,2026-05-10,DranBuster,977,19,1,0,1,0.0
618,1,0,1,2026-05-10,PegasusBlast,981,16,1,0,1,0.0
618,1,0,1,2026-05-10,GhostCircle,980,18,1,0,1,0.0
618,1,0,1,2026-05-10,SolEclipse,987,14,1,0,1,0.0
618,1,0,1,2026-05-10,UnicornSting,986,15,1,0,1,0.0
618,1,0,1,2026-05-10,CrimsonGaruda,976,20,1,0,1,0.0
618,1,0,1,2026-05-10,WizardRod,988,12,1,0,1,0.0
618,4,0,1,2026-05-10,CobaltDrake,1020,7,4,3,1,0.75
618,4,0,1,2026-05-10,SamuraiCalibur,921,21,4,0,4,0.0
618,1,0,1,2026-05-10,PhoenixFlare,987,13,1,0,1,0.0
618,1,0,1,2026-05-10,BlackShell,1020,6,1,1,0,1.0
619,2,0,1,2026-05-10,WhaleWave,991,12,2,1,1,0.5
619,1,1,0,2026-05-10,SamuraiSaber,1017,7,1,1,0,1.0
619,1,0,1,2026-05-10,WhaleFlame,980,18,1,0,1,0.0
619,1,0,1,2026-05-10,DranBuster,977,20,1,0,1,0.0
619,1,0,1,2026-05-10,PegasusBlast,981,17,1,0,1,0.0
619,1,0,1,2026-05-10,GhostCircle,980,19,1,0,1,0.0
619,1,0,1,2026-05-10,SolEclipse,987,15,1,0,1,0.0
619,1,0,1,2026-05-10,UnicornSting,986,16,1,0,1,0.0
619,1,0,1,2026-05-10,PhoenixFlare,987,14,1,0,1,0.0
619,1,0,1,2026-05-10,WizardRod,988,13,1,0,1,0.0
619,1,0,1,2026-05-10,CrimsonGaruda,976,21,1,0,1,0.0
619,4,0,1,2026-05-10,CobaltDrake,1020,6,4,3,1,0.75
619,4,0,1,2026-05-10,SamuraiCalibur,921,22,4,0,4,0.0
619,2,0,1,2026-05-10,TyrannoRoar,992,11,2,1,1,0.5
619,4,0,1,2026-05-10,SamuraiSteel,1000,10,4,2,2,0.5
619,2,1,0,2026-05-10,BlackShell,1000,9,2,1,1,0.5
620,5,1,0,2026-05-10,TriceraPress,1066,1,5,4,1,0.8
620,1,1,0,2026-05-10,ShelterDrake,983,17,1,0,1,0.0
620,1,0,1,2026-05-10,WhaleFlame,980,19,1,0,1,0.0
620,1,0,1,2026-05-10,DranBuster,977,21,1,0,1,0.0
620,1,0,1,2026-05-10,GhostCircle,980,20,1,0,1,0.0
620,1,0,1,2026-05-10,PegasusBlast,981,18,1,0,1,0.0
620,1,0,1,2026-05-10,CrimsonGaruda,976,22,1,0,1,0.0
620,4,0,1,2026-05-10,SamuraiCalibur,921,23,4,0,4,0.0
621,1,0,1,2026-05-10,WolfHunt,1013,9,1,1,0,1.0
621,1,0,1,2026-05-10,DranBuster,977,22,1,0,1,0.0
621,1,0,1,2026-05-10,CrimsonGaruda,976,23,1,0,1,0.0
621,4,0,1,2026-05-10,SamuraiCalibur,921,24,4,0,4,0.0
621,5,1,0,2026-05-10,SamuraiSteel,1017,8,5,3,2,0.6
621,2,0,1,2026-05-10,BlackShell,1000,10,2,1,1,0.5
621,1,1,0,2026-05-10,EmperorMight,980,21,1,0,1,0.0
622,1,0,1,2026-05-10,ShelterDrake,983,18,1,0,1,0.0
622,1,0,1,2026-05-10,SamuraiSaber,1017,8,1,1,0,1.0
622,1,0,1,2026-05-10,MeteorDragoon,1021,6,1,1,0,1.0
