Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
100,M0157,2025-12-27,PerseusDark,RhinoReaper,989.2,1033.1,43.88,6-3
101,M0379,2026-02-26,ScorpioSpear,LeonCrest,1064.1,1107.6,43.55,5-2
102,M0095,2025-12-02,WizardArc,WizardRod,953.4,996.3,42.95,4-2
103,M0268,2026-01-30,LeonCrest,FoxBrush,1042.1,1085.0,42.92,4-0
104,M0353,2026-02-26,DranSword,FoxBrush,1020.2,1062.6,42.36,5-1
105,M0396,2026-03-01,CrimsonGaruda,RhinoReaper,976.6,1017.7,41.12,5-2
106,M0094,2025-12-02,LeonCrest,UnicornSting,952.6,992.9,40.24,5-2
107,M0678,2026-06-07,HellsHammer,TriceraPress,960.1,1000.0,39.92,4-3
108,M0354,2026-02-26,GolemRock,TuskMammoth,1065.1,1105.0,39.91,4-0
109,M0593,2026-05-10,HellsBrave,ImpactDrake,1103.0,1142.3,39.29,4-2
110,M0659,2026-05-22,TyrannoBeat,EmperorMight,996.9,1036.1,39.21,4-0
111,M0542,2026-05-02,SharkEdge,RhinoReaper,963.6,1002.4,38.77,4-2
112,M0080,2025-12-02,LeonClaw,WizardRod,973.0,1011.1,38.07,4-1
113,M0183,2026-01-04,PerseusDark,SharkEdge,992.2,1030.0,37.88,4-0
114,M0519,2026-04-25,ValkyrieVolt,ImpactDrake,1128.0,1165.5,37.54,4-1
115,M0493,2026-04-03,WeissTiger,ViperTail,1018.9,1056.0,37.09,5-2
116,M0065,2025-11-12,RhinoReaper,TuskMammoth,1029.5,1066.6,37.07,4-0
117,M0175,2025-12-27,LeonCrest,TuskMammoth,1043.9,1080.5,36.62,8-2
118,M0572,2026-05-02,SolEclipse,CobaltDrake,935.3,971.8,36.54,5-2
119,M0263,2026-01-30,KnightMail,PhoenixWing,996.9,1033.4,36.51,4-0
120,M0469,2026-04-03,SolEclipse,PhoenixRudder,944.2,980.3,36.13,4-3
121,M0717,2026-06-07,CerberusFlame,WeissTiger,1017.2,1053.0,35.8,4-1
122,M0162,2025-12-27,LeonClaw,DranDagger,996.1,1031.8,35.72,5-0
123,M0693,2026-06-07,DranBuster,PhoenixRudder,963.7,999.4,35.67,4-2
124,M0430,2026-03-20,TuskMammoth,SharkScale,1098.6,1133.9,35.3,6-2
125,M0509,2026-04-25,HellsHammer,CobaltDrake,930.4,965.6,35.21,4-2
126,M0745,2026-08-07,WizardArc,PerseusDark,958.4,993.3,34.96,4-0
127,M0544,2026-05-02,PerseusDark,HellsChain,1009.0,1043.5,34.52,4-1
128,M0748,2026-08-07,GolemRock,CerberusFlame,982.8,1017.2,34.45,4-0
129,M0288,2026-02-11,TuskMammoth,ImpactDrake,1093.4,1127.3,33.91,5-2
130,M0119,2025-12-27,WeissTiger,CerberusFlame,1028.5,1062.2,33.71,4-0
131,M0414,2026-03-01,DranSword,GolemRock,1050.3,1083.8,33.47,4-2
132,M0575,2026-05-02,PhoenixWing,LeonClaw,974.4,1007.8,33.41,4-3
133,M0558,2026-05-02,HellsReaper,HellsChain,999.3,1032.0,32.73,5-0
134,M0051,2025-11-12,DranDagger,UnicornSting,1001.8,1034.3,32.46,5-0
135,M0537,2026-04-25,ScorpioSpear,GolemRock,1027.5,1059.9,32.36,4-2
136,M0514,2026-04-25,KnightMail,ViperTail,1011.9,1043.2,31.35,4-0
137,M0063,2025-11-12,RhinoReaper,DranDagger,1008.5,1039.5,31.05,6-2
138,M0736,2026-06-25,PhoenixWing,GolemRock,965.9,996.9,31.02,4-0
139,M0357,2026-02-26,HellsReaper,WeissTiger,1001.9,1032.4,30.44,4-0
140,M0735,2026-06-25,WeissTiger,LeonCrest,1043.4,1073.3,29.97,5-0
141,M0709,2026-06-07,HellsHammer,PhoenixRudder,960.2,990.0,29.79,4-0
142,M0308,2026-02-11,SolEclipse,SharkEdge,959.3,989.0,29.63,5-0
143,M0108,2025-12-11,ScorpioSpear,KnightMail,997.1,1026.7,29.61,4-2
144,M0138,2025-12-27,GolemRock,CerberusFlame,1013.1,1042.4,29.32,5-0
145,M0335,2026-02-26,SharkEdge,RhinoReaper,982.9,1012.2,29.29,4-3
146,M0155,2025-12-27,PhoenixWing,KnightMail,996.6,1025.0,28.44,4-0
147,M0201,2026-01-04,CrimsonGaruda,UnicornSting,978.7,1007.0,28.28,4-0
148,M0548,2026-05-02,CobaltDragoon,DranBrave,1044.3,1072.3,27.98,4-0
149,M0727,2026-06-25,PhoenixRudder,LeonClaw,979.4,1007.2,27.8,4-2
150,M0432,2026-03-20,KnightMail,ScorpioSpear,1017.8,1045.6,27.73,5-0
151,M0151,2025-12-27,LeonClaw,WizardRod,982.4,1009.9,27.47,4-2
152,M0331,2026-02-13,ScorpioSpear,CobaltDragoon,1062.6,1089.4,26.88,4-0
153,M0600,2026-05-10,FoxBrush,TuskMammoth,1108.7,1135.5,26.88,4-0
154,M0581,2026-05-02,ViperTail,CobaltDragoon,1036.0,1062.9,26.87,4-0
155,M0674,2026-05-22,CobaltDrake,ClockMirage,971.0,997.8,26.86,4-0
156,M0541,2026-05-02,WizardArc,WolfHunt,980.4,1007.1,26.71,4-0
157,M0656,2026-05-22,TyrannoBeat,SamuraiCalibur,973.3,1000.0,26.7,4-0
158,M0478,2026-04-03,CerberusFlame,WeissTiger,1004.7,1031.1,26.44,5-0
159,M0750,2026-08-07,SilverWolf,LeonCrest,1036.8,1062.9,26.17,4-0
160,M0582,2026-05-02,FoxBrush,ValkyrieVolt,1088.5,1114.6,26.03,4-2
161,M0574,2026-05-02,HellsChain,SilverWolf,1018.2,1044.2,25.9,4-1
162,M0540,2026-05-02,HellsHammer,DranDagger,933.0,958.8,25.87,4-0
163,M0259,2026-01-30,SilverWolf,WhaleWave,968.3,994.0,25.78,4-3
164,M0605,2026-05-10,FoxBrush,TuskMammoth,1112.5,1138.2,25.77,8-2
165,M0036,2025-11-12,SilverWolf,PhoenixRudder,986.9,1012.6,25.72,4-1
166,M0769,2026-08-07,ScorpioSpear,CobaltDragoon,1021.6,1047.0,25.44,4-1
167,M0249,2026-01-30,DranDagger,TuskMammoth,994.7,1020.0,25.33,5-3
168,M0654,2026-05-22,CobaltDrake,SamuraiCalibur,952.1,977.4,25.26,4-0
169,M0195,2026-01-04,DranBrave,HellsReaper,1011.2,1036.2,25.0,4-0
170,M0262,2026-01-30,HellsReaper,DranBrave,1015.2,1040.2,24.92,4-3
171,M0122,2025-12-27,DranSword,RhinoReaper,1040.3,1065.0,24.78,4-2
172,M0311,2026-02-11,ImpactDrake,CobaltDrake,980.0,1004.7,24.73,5-2
173,M0559,2026-05-02,RhinoReaper,PerseusDark,993.2,1017.9,24.67,4-2
174,M0200,2026-01-04,SolEclipse,ViperTail,1020.8,1045.4,24.61,5-2
175,M0426,2026-03-20,ValkyrieVolt,SharkScale,1117.6,1142.1,24.54,5-1
176,M0696,2026-06-07,TriceraPress,LeonClaw,984.6,1009.1,24.51,4-0
177,M0272,2026-02-11,ValkyrieVolt,SharkEdge,985.4,1009.9,24.44,4-0
178,M0044,2025-11-12,WhaleWave,WhaleFlame,975.9,1000.0,24.12,4-2
179,M0676,2026-05-22,DranBuster,CobaltDrake,957.8,981.8,24.02,8-3
180,M0315,2026-02-13,LeonCrest,TuskMammoth,980.0,1003.8,23.77,4-0
181,M0588,2026-05-02,CobaltDragoon,LeonCrest,1051.8,1075.4,23.6,7-3
182,M0483,2026-04-03,FoxBrush,TuskMammoth,1079.5,1103.0,23.44,4-3
183,M0417,2026-03-01,ViperTail,DranSword,1035.7,1058.7,23.02,4-1
184,M0392,2026-03-01,UnicornSting,SharkEdge,989.3,1011.4,22.03,4-3
185,M0338,2026-02-26,WizardRod,CrimsonGaruda,965.7,987.5,21.87,4-2
186,M0474,2026-04-03,RhinoReaper,SilverWolf,1008.8,1030.5,21.67,5-3
187,M0154,2025-12-27,HellsReaper,HellsChain,973.4,994.5,21.1,4-0
188,M0501,2026-04-25,CobaltDrake,TriceraPress,1000.0,1020.9,20.91,4-3
189,M0741,2026-08-07,DranBuster,HellsHammer,965.1,985.6,20.52,4-0
190,M0034,2025-11-12,HellsChain,PhoenixWing,986.2,1006.6,20.41,6-3
191,M0339,2026-02-26,SilverWolf,UnicornSting,973.5,993.8,20.24,5-3
192,M0619,2026-05-10,SamuraiSaber,BlackShell,1000.0,1020.0,20.0,5-2
193,M0345,2026-02-26,FoxBrush,GolemRock,1052.8,1072.7,19.98,4-3
194,M0264,2026-01-30,PerseusDark,DranDagger,994.2,1013.0,18.83,5-3
195,M0394,2026-03-01,HellsChain,RhinoReaper,1007.3,1025.9,18.62,4-3
196,M0115,2025-12-11,SharkEdge,KnightMail,1010.2,1028.8,18.57,5-2
197,M0749,2026-08-07,WeissTiger,DranBrave,1054.8,1073.4,18.56,6-0
198,M0121,2025-12-27,ViperTail,DranDagger,1021.3,1039.5,18.28,4-0
199,M0624,2026-05-10,MeteorDragoon,ClockMirage,1020.8,1038.8,18.03,4-3
200,M0377,2026-02-26,FoxBrush,CobaltDragoon,1049.6,1067.5,17.96,5-1
201,M0057,2025-11-12,KnightMail,CobaltDragoon,1024.5,1042.2,17.71,5-3
202,M0546,2026-05-02,CerberusFlame,ViperTail,1023.5,1041.2,17.62,4-1
203,M0461,2026-03-20,WizardArc,WhaleFlame,932.8,950.4,17.59,4-0
204,M0705,2026-06-07,DranSword,SharkScale,1085.2,1102.5,17.26,4-0
205,M0475,2026-04-03,LeonClaw,HellsChain,1009.3,1026.4,17.14,4-2
206,M0697,2026-06-07,PerseusDark,HellsReaper,985.3,1002.4,17.14,4-0
207,M0120,2025-12-27,CobaltDragoon,TuskMammoth,1035.3,1052.2,16.93,4-0
208,M0326,2026-02-13,PerseusDark,HellsReaper,1007.9,1024.8,16.88,4-0
209,M0142,2025-12-27,SharkEdge,KnightMail,1026.7,1043.6,16.86,4-0
210,M0266,2026-01-30,WyvernHover,WeissTiger,1000.0,1016.6,16.64,4-2
211,M0661,2026-05-22,PegasusBlast,EmperorMight,992.9,1009.2,16.33,4-2
212,M0177,2026-01-04,SharkScale,SolEclipse,1000.0,1015.9,15.88,4-2
213,M0500,2026-04-25,TriceraPress,SamuraiSteel,1000.0,1015.9,15.88,4-0
214,M0434,2026-03-20,TuskMammoth,ValkyrieVolt,1106.3,1121.8,15.46,5-2
215,M0141,2025-12-27,LeonCrest,LeonClaw,978.4,993.9,15.43,4-3
216,M0076,2025-12-02,PhoenixWing,UnicornSting,991.2,1006.6,15.4,5-2
217,M0515,2026-04-25,WeissTiger,CobaltDragoon,1029.3,1044.3,15.01,5-2
218,M0329,2026-02-13,DranDagger,PhoenixWing,976.4,991.2,14.85,4-1
219,M0321,2026-02-13,CrimsonGaruda,SilverWolf,972.3,986.9,14.61,4-0
220,M0763,2026-08-07,SilverWolf,DranBrave,1047.0,1061.3,14.27,4-3
221,M0386,2026-02-26,SilverWolf,WolfHunt,989.1,1003.1,14.06,5-0
222,M0618,2026-05-10,MeteorDragoon,WhaleWave,1000.0,1013.8,13.8,4-0
223,M0261,2026-01-30,LeonClaw,ValkyrieVolt,986.6,1000.0,13.38,4-2
224,M0159,2025-12-27,HellsReaper,PerseusDark,990.5,1003.8,13.28,4-2
225,M0260,2026-01-30,UnicornSting,RhinoReaper,992.5,1005.7,13.25,4-2
226,M0528,2026-04-25,PerseusDark,LeonClaw,1002.5,1015.7,13.16,4-2
227,M0211,2026-01-04,DranBrave,CerberusFlame,1025.3,1038.5,13.15,5-1
228,M0389,2026-02-26,CerberusFlame,PerseusDark,991.8,1004.9,13.09,5-1
229,M0082,2025-12-02,WhaleWave,HellsChain,979.0,991.7,12.73,4-3
230,M0131,2025-12-27,LeonCrest,BlackShell,963.9,976.5,12.62,4-2
231,M0254,2026-01-30,WhaleWave,WizardArc,1035.0,1047.5,12.58,5-3
232,M0363,2026-02-26,SharkEdge,HellsChain,992.7,1005.2,12.47,4-0
233,M0153,2025-12-27,DranBrave,UnicornSting,999.2,1011.2,11.95,4-1
234,M0467,2026-03-20,WizardArc,EmperorMight,951.8,963.6,11.77,4-2
235,M0281,2026-02-11,WyvernHover,HellsReaper,1014.8,1026.4,11.67,4-1
236,M0662,2026-05-22,TyrannoBeat,WizardRod,1015.6,1027.0,11.44,8-2
237,M0342,2026-02-26,DranBrave,WeissTiger,1031.6,1043.0,11.4,4-3
238,M0384,2026-02-26,ClockMirage,EmperorMight,953.7,965.0,11.3,4-2
239,M0198,2026-01-04,CerberusFlame,CobaltDragoon,1033.7,1045.0,11.28,4-2
240,M0022,2025-09-07,PhoenixWing,CobaltDragoon,1013.1,1024.1,11.03,4-2
241,M0023,2025-09-07,WizardRod,PerseusDark,1013.1,1024.1,11.03,4-2
242,M0084,2025-12-02,CrimsonGaruda,WizardArrow,961.5,972.4,10.82,4-0
243,M0365,2026-02-26,RhinoReaper,LeonClaw,1015.0,1025.7,10.71,5-1
244,M0671,2026-05-22,ClockMirage,WolfHunt,986.8,997.5,10.67,4-2
245,M0135,2025-12-27,PerseusDark,HellsChain,982.9,993.3,10.45,6-2
246,M0173,2025-12-27,TuskMammoth,GolemRock,1068.9,1079.2,10.36,6-3
