MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-04-03,WizardArc,DranDagger,4,0,season,S2,4,1,Xtreme
M0002,2026-04-03,SolEclipse,PhoenixRudder,4,3,season,S2,4,1,Xtreme
M0003,2026-04-03,WolfHunt,CobaltDrake,4,2,season,S2,4,1,Xtreme
M0004,2026-04-03,HellsBrave,HellsHammer,4,1,season,S2,4,1,Xtreme
M0005,2026-04-03,PhoenixWing,PerseusDark,0,5,season,S2,3,1,Xtreme
M0006,2026-04-03,HellsReaper,SharkEdge,4,0,season,S2,3,1,Xtreme
M0007,2026-04-03,SilverWolf,RhinoReaper,3,5,season,S2,3,1,Xtreme
M0008,2026-04-03,LeonClaw,HellsChain,4,2,season,S2,3,1,Xtreme
M0009,2026-04-03,WyvernHover,CobaltDragoon,0,5,season,S2,2,1,Xtreme
M0010,2026-04-03,DranSword,ViperTail,3,4,season,S2,2,1,Xtreme
M0011,2026-04-03,WeissTiger,CerberusFlame,0,5,season,S2,2,1,Xtreme
M0012,2026-04-03,KnightMail,DranBrave,0,6,season,S2,2,1,Xtreme
M0013,2026-04-03,ScorpioSpear,ImpactDrake,2,4,season,S2,1,1,Xtreme
M0014,2026-04-03,SharkScale,LeonCrest,5,2,season,S2,1,1,Xtreme
M0015,2026-04-03,ValkyrieVolt,GolemRock,4,3,season,S2,1,1,Xtreme
M0016,2026-04-03,TuskMammoth,FoxBrush,3,4,season,S2,1,1,Xtreme
M0017,2026-04-03,HellsHammer,WizardArc,3,4,season,S2,4,2,Xtreme
M0018,2026-04-03,PhoenixRudder,WolfHunt,4,2,season,S2,4,2,Xtreme
M0019,2026-04-03,DranDagger,SolEclipse,2,5,season,S2,4,2,Xtreme
M0020,2026-04-03,RhinoReaper,LeonClaw,4,2,season,S2,3,2,Xtreme
M0021,2026-04-03,HellsChain,PhoenixWing,5,0,season,S2,3,2,Xtreme
M0022,2026-04-03,SharkEdge,SilverWolf,0,4,season,S2,3,2,Xtreme
M0023,2026-04-03,PerseusDark,HellsReaper,5,2,season,S2,3,2,Xtreme
M0024,2026-04-03,CerberusFlame,KnightMail,4,2,season,S2,2,2,Xtreme
M0025,2026-04-03,DranBrave,WyvernHover,5,0,season,S2,2,2,Xtreme
M0026,2026-04-03,ViperTail,WeissTiger,2,5,season,S2,2,2,Xtreme
M0027,2026-04-03,CobaltDragoon,DranSword,2,4,season,S2,2,2,Xtreme
M0028,2026-04-03,GolemRock,TuskMammoth,1,5,season,S2,1,2,Xtreme
M0029,2026-04-03,FoxBrush,ScorpioSpear,6,1,season,S2,1,2,Xtreme
M0030,2026-04-03,LeonCrest,ValkyrieVolt,0,4,season,S2,1,2,Xtreme
M0031,2026-04-03,ImpactDrake,SharkScale,4,3,season,S2,1,2,Xtreme
