Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,GolemRock,1016,1,1,0,100.0%,4,0,4,→ 0,0
2,TuskMammoth,1011,1,1,0,100.0%,4,2,2,→ 0,0
3,ViperTail,1011,1,1,0,100.0%,4,2,2,→ 0,0
4,ImpactDrake,1011,1,1,0,100.0%,4,3,1,▲ 29,+11
5,WyvernHover,1000,0,0,0,0.0%,0,0,0,▼ 1,0
6,RhinoReaper,1000,0,0,0,0.0%,0,0,0,▼ 1,0
7,WizardRod,1000,0,0,0,0.0%,0,0,0,▼ 1,0
8,PhoenixWing,1000,0,0,0,0.0%,0,0,0,▼ 1,0
9,SolEclipse,1000,0,0,0,0.0%,0,0,0,▼ 1,0
10,CobaltDrake,1000,0,0,0,0.0%,0,0,0,▼ 1,0
11,PhoenixRudder,1000,0,0,0,0.0%,0,0,0,▼ 1,0
12,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,▼ 1,0
13,CobaltDragoon,1000,0,0,0,0.0%,0,0,0,▼ 1,0
14,DranBuster,1000,0,0,0,0.0%,0,0,0,▼ 1,0
15,SilverWolf,1000,0,0,0,0.0%,0,0,0,▼ 1,0
16,HellsHammer,1000,0,0,0,0.0%,0,0,0,▼ 1,0
17,PegasusBlast,1000,0,0,0,0.0%,0,0,0,▼ 1,0
18,ClockMirage,1000,0,0,0,0.0%,0,0,0,▼ 1,0
19,LeonClaw,1000,0,0,0,0.0%,0,0,0,▼ 1,0
20,SharkEdge,1000,0,0,0,0.0%,0,0,0,▼ 1,0
21,WolfHunt,1000,0,0,0,0.0%,0,0,0,▼ 1,0
22,WhaleWave,1000,0,0,0,0.0%,0,0,0,▼ 1,0
23,WhaleFlame,1000,0,0,0,0.0%,0,0,0,▼ 1,0
24,KnightMail,1000,0,0,0,0.0%,0,0,0,▼ 1,0
25,DranDagger,1000,0,0,0,0.0%,0,0,0,▼ 1,0
26,WeissTiger,1000,0,0,0,0.0%,0,0,0,▼ 1,0
27,PerseusDark,1000,0,0,0,0.0%,0,0,0,▼ 1,0
28,DranSword,1000,0,0,0,0.0%,0,0,0,▼ 1,0
29,UnicornSting,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,CerberusFlame,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
32,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,→ 0,0
33,WizardArrow,1000,0,0,0,0.0%,0,0,0,▲ 1,0
34,HellsReaper,1000,0,0,0,0.0%,0,0,0,▲ 1,0
35,TyrannoBeat,1000,0,0,0,0.0%,0,0,0,▲ 1,0
36,DranBrave,1000,0,0,0,0.0%,0,0,0,▲ 1,0
37,CrimsonGaruda,1000,0,0,0,0.0%,0,0,0,▲ 1,0
38,EmperorMight,1000,0,0,0,0.0%,0,0,0,▲ 1,0
39,FoxBrush,1000,0,0,0,0.0%,0,0,0,▲ 1,0
40,ScorpioSpear,1000,0,0,0,0.0%,0,0,0,▲ 1,0
41,HellsChain,1000,0,0,0,0.0%,0,0,0,▲ 1,0
42,SharkScale,1000,0,0,0,0.0%,0,0,0,▲ 1,0
43,LeonCrest,989,1,0,1,0.0%,3,4,-1,▼ 15,-11
44,SamuraiSaber,989,1,0,1,0.0%,2,4,-2,→ 0,0
45,WizardArc,989,1,0,1,0.0%,2,4,-2,→ 0,0
46,BlackShell,984,1,0,1,0.0%,0,4,-4,→ 0,0
