Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1024,1,1,0,100.0%,5,0,5,→ 0,0
2,GolemRock,1020,1,1,0,100.0%,4,0,4,→ 0,0
3,UnicornSting,1020,1,1,0,100.0%,4,0,4,→ 0,0
4,DranDagger,1020,1,1,0,100.0%,4,0,4,→ 0,0
5,DranBrave,1014,1,1,0,100.0%,4,2,2,→ 0,0
6,ViperTail,1014,1,1,0,100.0%,4,2,2,→ 0,0
7,TuskMammoth,1014,1,1,0,100.0%,4,2,2,→ 0,0
8,TyrannoBeat,1014,1,1,0,100.0%,4,2,2,▲ 20,+14
9,ImpactDrake,1013,1,1,0,100.0%,4,3,1,▼ 1,0
10,DranSword,1013,1,1,0,100.0%,4,3,1,▼ 1,0
11,CobaltDragoon,1000,0,0,0,0.0%,0,0,0,▼ 1,0
12,SharkScale,1000,0,0,0,0.0%,0,0,0,▼ 1,0
13,PhoenixRudder,1000,0,0,0,0.0%,0,0,0,▼ 1,0
14,ClockMirage,1000,0,0,0,0.0%,0,0,0,▼ 1,0
15,ScorpioSpear,1000,0,0,0,0.0%,0,0,0,▼ 1,0
16,WizardArrow,1000,0,0,0,0.0%,0,0,0,▼ 1,0
17,SilverWolf,1000,0,0,0,0.0%,0,0,0,→ 0,0
18,RhinoReaper,1000,0,0,0,0.0%,0,0,0,→ 0,0
19,CobaltDrake,1000,0,0,0,0.0%,0,0,0,→ 0,0
20,WhaleFlame,1000,0,0,0,0.0%,0,0,0,→ 0,0
21,PhoenixWing,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,PegasusBlast,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,SharkEdge,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,KnightMail,1000,0,0,0,0.0%,0,0,0,→ 0,0
25,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,→ 0,0
26,WhaleWave,1000,0,0,0,0.0%,0,0,0,→ 0,0
27,WizardRod,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,CerberusFlame,1000,0,0,0,0.0%,0,0,0,▲ 1,0
29,WolfHunt,1000,0,0,0,0.0%,0,0,0,▲ 1,0
30,EmperorMight,1000,0,0,0,0.0%,0,0,0,▲ 1,0
31,WeissTiger,1000,0,0,0,0.0%,0,0,0,▲ 1,0
32,WyvernHover,1000,0,0,0,0.0%,0,0,0,▲ 1,0
33,HellsBrave,1000,0,0,0,0.0%,0,0,0,▲ 1,0
34,PerseusDark,1000,0,0,0,0.0%,0,0,0,▲ 1,0
35,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,▲ 1,0
36,SolEclipse,1000,0,0,0,0.0%,0,0,0,▲ 1,0
37,WizardArc,980,1,0,1,0.0%,2,4,-2,▲ 1,0
38,SamuraiSaber,980,1,0,1,0.0%,2,4,-2,▲ 1,0
39,LeonCrest,980,1,0,1,0.0%,3,4,-1,▲ 1,0
40,HellsChain,980,1,0,1,0.0%,2,4,-2,▼ 24,-20
41,LeonClaw,980,1,0,1,0.0%,0,4,-4,→ 0,0
42,DranBuster,980,1,0,1,0.0%,0,5,-5,→ 0,0
43,CrimsonGaruda,980,1,0,1,0.0%,0,4,-4,→ 0,0
44,BlackShell,980,1,0,1,0.0%,0,4,-4,→ 0,0
45,HellsReaper,980,1,0,1,0.0%,2,4,-2,→ 0,0
46,HellsHammer,980,1,0,1,0.0%,3,4,-1,→ 0,0
