Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,TuskMammoth,1015,1,1,0,100.0%,4,2,2,▲ 19,+15
2,ViperTail,1015,1,1,0,100.0%,4,2,2,▼ 1,0
3,HellsChain,1000,0,0,0,0.0%,0,0,0,▼ 1,0
4,RhinoReaper,1000,0,0,0,0.0%,0,0,0,▼ 1,0
5,PerseusDark,1000,0,0,0,0.0%,0,0,0,▼ 1,0
6,HellsHammer,1000,0,0,0,0.0%,0,0,0,▼ 1,0
7,TyrannoBeat,1000,0,0,0,0.0%,0,0,0,▼ 1,0
8,KnightMail,1000,0,0,0,0.0%,0,0,0,▼ 1,0
9,DranBrave,1000,0,0,0,0.0%,0,0,0,▼ 1,0
10,WeissTiger,1000,0,0,0,0.0%,0,0,0,▼ 1,0
11,PegasusBlast,1000,0,0,0,0.0%,0,0,0,▼ 1,0
12,CobaltDragoon,1000,0,0,0,0.0%,0,0,0,▼ 1,0
13,WhaleFlame,1000,0,0,0,0.0%,0,0,0,▼ 1,0
14,SharkEdge,1000,0,0,0,0.0%,0,0,0,▼ 1,0
15,PhoenixWing,1000,0,0,0,0.0%,0,0,0,▼ 1,0
16,GolemRock,1000,0,0,0,0.0%,0,0,0,▼ 1,0
17,PhoenixRudder,1000,0,0,0,0.0%,0,0,0,▼ 1,0
18,EmperorMight,1000,0,0,0,0.0%,0,0,0,▼ 1,0
19,DranSword,1000,0,0,0,0.0%,0,0,0,▼ 1,0
20,WhaleWave,1000,0,0,0,0.0%,0,0,0,▼ 1,0
21,ScorpioSpear,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,BlackShell,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,SilverWolf,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,WizardArrow,1000,0,0,0,0.0%,0,0,0,→ 0,0
25,WizardRod,1000,0,0,0,0.0%,0,0,0,→ 0,0
26,FoxBrush,1000,0,0,0,0.0%,0,0,0,→ 0,0
27,WyvernHover,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,SharkScale,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,ImpactDrake,1000,0,0,0,0.0%,0,0,0,▲ 1,0
30,WolfHunt,1000,0,0,0,0.0%,0,0,0,▲ 1,0
31,LeonClaw,1000,0,0,0,0.0%,0,0,0,▲ 1,0
32,HellsReaper,1000,0,0,0,0.0%,0,0,0,▲ 1,0
33,LeonCrest,1000,0,0,0,0.0%,0,0,0,▲ 1,0
34,CerberusFlame,1000,0,0,0,0.0%,0,0,0,▲ 1,0
35,DranDagger,1000,0,0,0,0.0%,0,0,0,▲ 1,0
36,UnicornSting,1000,0,0,0,0.0%,0,0,0,▲ 1,0
37,CrimsonGaruda,1000,0,0,0,0.0%,0,0,0,▲ 1,0
38,DranBuster,1000,0,0,0,0.0%,0,0,0,▲ 1,0
39,SolEclipse,1000,0,0,0,0.0%,0,0,0,▲ 1,0
40,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,▲ 1,0
41,CobaltDrake,1000,0,0,0,0.0%,0,0,0,▲ 1,0
42,SamuraiSaber,985,1,0,1,0.0%,2,4,-2,▼ 13,-15
43,WizardArc,985,1,0,1,0.0%,2,4,-2,→ 0,0
