Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
11,1,0,1,2025-09-07,HellsChain,993,18,1,0,1,0.0
11,1,0,1,2025-09-07,HellsReaper,993,17,1,0,1,0.0
11,1,0,1,2025-09-07,CrimsonGaruda,980,20,1,0,1,0.0
11,1,1,0,2025-09-07,PhoenixWing,1003,11,1,1,0,1.0
11,1,0,1,2025-09-07,BlackShell,980,19,1,0,1,0.0
11,1,0,1,2025-09-07,WizardArc,993,15,1,0,1,0.0
11,1,0,1,2025-09-07,DranBuster,980,22,1,0,1,0.0
11,1,0,1,2025-09-07,HellsHammer,997,13,1,0,1,0.0
11,1,0,1,2025-09-07,LeonCrest,997,12,1,0,1,0.0
11,1,0,1,2025-09-07,SamuraiSaber,993,16,1,0,1,0.0
12,1,0,1,2025-09-07,WizardArrow,997,15,1,0,1,0.0
12,1,0,1,2025-09-07,LeonClaw,980,22,1,0,1,0.0
12,1,0,1,2025-09-07,TyrannoBeat,1007,9,1,1,0,1.0
12,1,0,1,2025-09-07,HellsReaper,993,18,1,0,1,0.0
12,1,0,1,2025-09-07,CrimsonGaruda,980,21,1,0,1,0.0
12,1,0,1,2025-09-07,LeonCrest,997,13,1,0,1,0.0
12,1,0,1,2025-09-07,SamuraiSaber,993,17,1,0,1,0.0
12,1,1,0,2025-09-07,SharkEdge,980,24,1,0,1,0.0
12,1,0,1,2025-09-07,DranBrave,1007,8,1,1,0,1.0
12,1,0,1,2025-09-07,WizardArc,993,16,1,0,1,0.0
12,1,0,1,2025-09-07,DranBuster,980,23,1,0,1,0.0
12,1,1,0,2025-09-07,CobaltDragoon,1020,5,1,1,0,1.0
12,1,0,1,2025-09-07,ViperTail,1007,6,1,1,0,1.0
12,1,0,1,2025-09-07,PhoenixWing,1003,12,1,1,0,1.0
12,1,0,1,2025-09-07,TuskMammoth,1007,7,1,1,0,1.0
12,1,0,1,2025-09-07,DranSword,1003,11,1,1,0,1.0
12,1,0,1,2025-09-07,BlackShell,980,20,1,0,1,0.0
12,1,0,1,2025-09-07,ImpactDrake,1003,10,1,1,0,1.0
12,1,0,1,2025-09-07,HellsHammer,997,14,1,0,1,0.0
12,1,0,1,2025-09-07,HellsChain,993,19,1,0,1,0.0
13,1,0,1,2025-09-07,WizardArrow,997,16,1,0,1,0.0
13,1,0,1,2025-09-07,LeonClaw,980,23,1,0,1,0.0
13,1,0,1,2025-09-07,TyrannoBeat,1007,10,1,1,0,1.0
13,1,0,1,2025-09-07,HellsReaper,993,19,1,0,1,0.0
13,1,0,1,2025-09-07,CrimsonGaruda,980,22,1,0,1,0.0
13,1,1,0,2025-09-07,WhaleWave,980,26,1,0,1,0.0
13,1,0,1,2025-09-07,LeonCrest,997,14,1,0,1,0.0
13,1,0,1,2025-09-07,SamuraiSaber,993,18,1,0,1,0.0
13,1,0,1,2025-09-07,SharkEdge,980,25,1,0,1,0.0
13,1,0,1,2025-09-07,DranBrave,1007,9,1,1,0,1.0
13,1,0,1,2025-09-07,WizardArc,993,17,1,0,1,0.0
13,1,0,1,2025-09-07,DranBuster,980,24,1,0,1,0.0
13,1,0,1,2025-09-07,ViperTail,1007,7,1,1,0,1.0
13,1,0,1,2025-09-07,PhoenixWing,1003,13,1,1,0,1.0
13,1,0,1,2025-09-07,TuskMammoth,1007,8,1,1,0,1.0
13,1,0,1,2025-09-07,DranSword,1003,12,1,1,0,1.0
