match_id,round_number,winner,finish_type,points_awarded,notes
M0054,2,ScorpioSpear,extreme,3,
M0054,3,WhaleWave,spin,1,
M0055,1,RhinoReaper,burst,2,
M0055,2,SharkEdge,pocket,2,
M0055,3,RhinoReaper,pocket,2,
M0056,1,SilverWolf,spin,1,
M0056,2,SilverWolf,burst,2,
M0056,3,SilverWolf,spin,1,
M0056,4,ImpactDrake,burst,2,
M0057,1,CobaltDragoon,spin,1,
M0057,2,KnightMail,burst,2,
M0057,3,CobaltDragoon,burst,2,
M0057,4,KnightMail,pocket,2,
M0057,5,KnightMail,spin,1,
M0058,1,TuskMammoth,burst,2,
M0058,2,TuskMammoth,pocket,2,
M0058,3,TuskMammoth,spin,1,
M0058,4,ViperTail,spin,1,
M0059,1,DranDagger,burst,2,
M0059,2,DranDagger,burst,2,
M0059,3,DranBuster,burst,2,
M0060,1,CerberusFlame,pocket,2,
M0060,2,CerberusFlame,burst,2,
M0061,1,FoxBrush,pocket,2,
M0061,2,FoxBrush,pocket,2,
M0061,3,KnightMail,spin,1,
M0061,4,KnightMail,spin,1,
M0062,1,TuskMammoth,spin,1,
M0062,2,TuskMammoth,pocket,2,
M0062,3,TuskMammoth,extreme,3,
M0063,1,RhinoReaper,spin,1,
M0063,2,RhinoReaper,spin,1,
M0063,3,DranDagger,burst,2,
M0063,4,RhinoReaper,extreme,3,
M0063,5,RhinoReaper,spin,1,
M0064,1,FoxBrush,spin,1,
M0064,2,CerberusFlame,spin,1,
M0064,3,FoxBrush,extreme,3,
M0065,1,RhinoReaper,extreme,3,
M0065,2,RhinoReaper,spin,1,
M0066,1,FoxBrush,spin,1,
M0066,2,RhinoReaper,burst,2,
M0066,3,FoxBrush,pocket,2,
M0066,4,RhinoReaper,burst,2,
M0066,5,FoxBrush,pocket,2,
M0066,6,FoxBrush,extreme,3,
