M0312,2026-02-13,WizardArc,LeonClaw,4,0,exhibition,,,,DropAttack
M0313,2026-02-13,SamuraiSaber,CobaltDrake,2,6,exhibition,,,,DropAttack
M0314,2026-02-13,PhoenixWing,ValkyrieVolt,0,5,exhibition,,,,DropAttack
M0315,2026-02-13,TuskMammoth,LeonCrest,0,4,exhibition,,,,DropAttack
M0316,2026-02-13,WizardArc,CobaltDrake,4,2,exhibition,,,,DropAttack
M0317,2026-02-13,ValkyrieVolt,LeonCrest,5,2,exhibition,,,,DropAttack
M0318,2026-02-13,CobaltDrake,LeonCrest,4,1,exhibition,,,,DropAttack
M0319,2026-02-13,WizardArc,ValkyrieVolt,3,8,exhibition,,,,DropAttack
M0320,2026-02-13,WizardRod,HellsChain,0,4,season,S1,3,4,Xtreme
M0321,2026-02-13,SilverWolf,CrimsonGaruda,0,4,season,S1,3,4,Xtreme
M0322,2026-02-13,UnicornSting,LeonClaw,0,4,season,S1,3,4,Xtreme
M0323,2026-02-13,ValkyrieVolt,RhinoReaper,5,3,season,S1,3,4,Xtreme
M0324,2026-02-13,SharkEdge,WhaleWave,4,1,season,S1,3,4,Xtreme
M0325,2026-02-13,KnightMail,DranBrave,2,4,season,S1,2,4,Xtreme
M0326,2026-02-13,PerseusDark,HellsReaper,4,0,season,S1,2,4,Xtreme
M0327,2026-02-13,SolEclipse,WyvernHover,4,1,season,S1,2,4,Xtreme
M0328,2026-02-13,WeissTiger,SharkScale,4,3,season,S1,2,4,Xtreme
M0329,2026-02-13,PhoenixWing,DranDagger,1,4,season,S1,2,4,Xtreme
M0330,2026-02-13,LeonCrest,DranSword,4,0,season,S1,1,4,Xtreme
M0331,2026-02-13,ScorpioSpear,CobaltDragoon,4,0,season,S1,1,4,Xtreme
M0332,2026-02-13,CerberusFlame,ViperTail,4,0,season,S1,1,4,Xtreme
M0333,2026-02-13,ImpactDrake,GolemRock,4,0,season,S1,1,4,Xtreme
M0334,2026-02-13,FoxBrush,TuskMammoth,2,6,season,S1,1,4,Xtreme
