MatchID,round_number,winner,finish_type,points_awarded,notes
M0001,1,TyrannoRoar,pocket,2,
M0001,2,WhaleWave,pocket,2,
M0001,3,TyrannoRoar,burst,2,
M0002,1,GhostCircle,pocket,2,
M0002,2,GhostCircle,pocket,2,
M0003,1,SamuraiSaber,pocket,2,
M0003,2,CrimsonGaruda,spin,1,
M0003,3,CrimsonGaruda,burst,2,
M0003,4,SamuraiSaber,pocket,2,
M0004,1,GhostCircle,extreme,3,
M0004,2,TyrannoRoar,burst,2,
M0004,3,TyrannoRoar,pocket,2,
M0005,1,SamuraiSaber,spin,1,
M0005,2,SamuraiSaber,burst,2,
M0005,3,PegasusBlast,burst,2,
M0005,4,SamuraiSaber,spin,1,
M0006,1,CrimsonGaruda,pocket,2,
M0006,2,WhaleWave,stadium_exit,2,
M0006,3,CrimsonGaruda,burst,2,
M0007,1,SolEclipse,spin,1,
M0007,2,WolfHunt,burst,2,
M0007,3,WolfHunt,spin,1,
M0007,4,SolEclipse,spin,1,
M0007,5,SolEclipse,spin,1,
M0007,6,WolfHunt,pocket,2,
M0008,1,PhoenixFlare,burst,2,
M0008,2,PhoenixFlare,burst,2,
M0009,1,UnicornSting,burst,2,
M0009,2,UnicornSting,burst,2,
M0010,1,PhoenixFlare,spin,1,
M0010,2,PhoenixFlare,spin,1,
M0010,3,WolfHunt,pocket,2,
M0010,4,PhoenixFlare,spin,1,
M0010,5,PhoenixFlare,extreme,3,
M0011,1,UnicornSting,burst,2,
M0011,2,UnicornSting,burst,2,
M0012,1,WhaleFlame,burst,2,
M0012,2,TyrannoBeat,burst,2,
M0012,3,WhaleFlame,burst,2,
M0013,1,ShelterDrake,burst,2,
M0013,2,ShelterDrake,burst,2,
M0014,1,MeteorDragoon,burst,2,
M0014,2,MeteorDragoon,spin,1,
M0014,3,MeteorDragoon,pocket,2,
M0015,1,ClockMirage,burst,2,
M0015,2,WizardArrow,burst,2,
M0015,3,ClockMirage,extreme,3,
M0016,1,ShelterDrake,pocket,2,
M0016,2,MeteorDragoon,pocket,2,
M0016,3,ShelterDrake,pocket,2,
M0017,1,ClockMirage,burst,2,
M0017,2,ClockMirage,burst,2,
M0018,1,WizardArrow,spin,1,
M0018,2,WizardArrow,spin,1,
M0018,3,DranBuster,burst,2,
M0018,4,DranBuster,extreme,3,
M0019,1,DranDagger,burst,2,
M0019,2,DranDagger,spin,1,
M0019,3,SamuraiCalibur,spin,1,
M0019,4,DranDagger,burst,2,
M0020,1,SamuraiSteel,pocket,2,
M0020,2,SamuraiSteel,extreme,3,
M0021,1,CobaltDrake,extreme,3,
M0021,2,BlackShell,pocket,2,
M0021,3,BlackShell,burst,2,
M0022,1,SamuraiSteel,burst,2,
M0022,2,DranDagger,extreme,3,
M0022,3,SamuraiSteel,burst,2,
