matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta
1,1,KnightMail,1,1,0,4,4,0,4,1000.0,0
1,2,SharkScale,1,1,0,3,6,2,4,1000.0,0
1,3,PerseusDark,1,1,0,3,5,3,2,1000.0,0
1,4,WyvernHover,1,1,0,3,4,2,2,1000.0,0
1,5,HellsReaper,1,1,0,3,4,3,1,1000.0,0
1,6,DranBrave,1,0,1,0,3,4,-1,1000.0,0
1,7,DranDagger,1,0,1,0,3,5,-2,1000.0,0
1,8,WeissTiger,1,0,1,0,2,4,-2,1000.0,0
1,9,SolEclipse,1,0,1,0,2,6,-4,1000.0,0
1,10,PhoenixWing,1,0,1,0,0,4,-4,1000.0,0
2,1,KnightMail,2,2,0,7,10,2,8,1000.0,0
2,2,SharkScale,2,2,0,6,11,4,7,1000.0,0
2,3,WyvernHover,2,2,0,6,8,3,5,1000.0,1
2,4,DranBrave,2,1,1,4,7,4,3,1000.0,2
2,5,WeissTiger,2,1,1,4,6,4,2,1000.0,3
2,6,PerseusDark,2,1,1,3,7,8,-1,1000.0,-3
2,7,HellsReaper,2,1,1,3,5,7,-2,1000.0,-2
2,8,DranDagger,2,0,2,0,5,11,-6,1000.0,-1
2,9,SolEclipse,2,0,2,0,2,10,-8,1000.0,0
2,10,PhoenixWing,2,0,2,0,0,8,-8,1000.0,0
3,1,SharkScale,3,3,0,10,15,4,11,1000.0,1
3,2,WyvernHover,3,3,0,10,12,3,9,1000.0,1
3,3,WeissTiger,3,2,1,7,11,6,5,1000.0,2
3,4,KnightMail,3,2,1,7,10,6,4,1000.0,-3
3,5,PerseusDark,3,2,1,7,11,8,3,1000.0,1
3,6,HellsReaper,3,2,1,7,9,7,2,1000.0,1
3,7,DranBrave,3,1,2,4,7,8,-1,1000.0,-3
3,8,DranDagger,3,0,3,0,7,16,-9,1000.0,0
3,9,SolEclipse,3,0,3,0,2,14,-12,1000.0,0
3,10,PhoenixWing,3,0,3,0,0,12,-12,1000.0,0
4,1,PerseusDark,4,3,1,11,15,8,7,1000.0,4
4,2,SharkScale,4,3,1,10,18,8,10,1000.0,-1
4,3,WeissTiger,4,3,1,10,15,9,6,1000.0,0
4,4,WyvernHover,4,3,1,10,13,7,6,1000.0,-2
4,5,KnightMail,4,2,2,7,12,10,2,1000.0,-1
4,6,DranBrave,4,2,2,7,11,10,1,1000.0,1
4,7,HellsReaper,4,2,2,7,9,11,-2,1000.0,-1
4,8,DranDagger,4,1,3,3,11,17,-6,1000.0,0
4,9,SolEclipse,4,1,3,3,6,15,-9,1000.0,0
4,10,PhoenixWing,4,0,4,0,1,16,-15,1000.0,0
5,1,SharkScale,5,4,1,14,22,8,14,1000.0,1
5,2,PerseusDark,5,4,1,14,20,10,10,1000.0,-1
5,3,WyvernHover,5,4,1,13,18,9,9,1000.0,1
5,4,WeissTiger,5,3,2,10,18,13,5,1000.0,-1
5,5,KnightMail,5,3,2,10,16,13,3,1000.0,0
5,6,DranBrave,5,3,2,10,15,13,2,1000.0,0
5,7,HellsReaper,5,2,3,7,12,15,-3,1000.0,0
5,8,DranDagger,5,1,4,3,13,22,-9,1000.0,0
5,9,SolEclipse,5,1,4,3,8,20,-12,1000.0,0
5,10,PhoenixWing,5,0,5,0,1,20,-19,1000.0,0
6,1,SharkScale,6,5,1,17,27,10,17,1000.0,0
6,2,WyvernHover,6,5,1,17,22,9,13,1000.0,1
6,3,DranBrave,6,4,2,14,20,13,7,1000.0,3
6,4,KnightMail,6,4,2,14,20,13,7,1000.0,1
6,5,PerseusDark,6,4,2,14,20,14,6,1000.0,-3
6,6,HellsReaper,6,3,3,11,16,15,1,1000.0,1
6,7,WeissTiger,6,3,3,10,18,17,1,1000.0,-3
6,8,DranDagger,6,1,5,3,15,27,-12,1000.0,0
6,9,SolEclipse,6,1,5,3,8,24,-16,1000.0,0
6,10,PhoenixWing,6,0,6,0,1,25,-24,1000.0,0
7,1,SharkScale,7,6,1,20,31,12,19,1000.0,0
7,2,KnightMail,7,5,2,18,24,13,11,1000.0,2
7,3,WyvernHover,7,5,2,17,24,13,11,1000.0,-1
7,4,DranBrave,7,5,2,17,24,15,9,1000.0,-1
7,5,WeissTiger,7,4,3,14,22,17,5,1000.0,2
7,6,PerseusDark,7,4,3,14,20,18,2,1000.0,-1
7,7,HellsReaper,7,3,4,11,18,19,-1,1000.0,-1
7,8,DranDagger,7,1,6,3,17,31,-14,1000.0,0
7,9,SolEclipse,7,1,6,3,8,28,-20,1000.0,0
7,10,PhoenixWing,7,1,6,3,5,27,-22,1000.0,0
8,1,SharkScale,8,7,1,24,35,12,23,1000.0,0
8,2,KnightMail,8,6,2,22,28,13,15,1000.0,0
8,3,WeissTiger,8,5,3,18,26,17,9,1000.0,2
8,4,WyvernHover,8,5,3,17,24,17,7,1000.0,-1
8,5,DranBrave,8,5,3,17,24,19,5,1000.0,-1
8,6,HellsReaper,8,4,4,14,23,21,2,1000.0,1
8,7,PerseusDark,8,4,4,14,20,22,-2,1000.0,-1
8,8,PhoenixWing,8,2,6,6,9,30,-21,1000.0,2
