MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0026,2025-09-07,DranSword,UnicornSting,4,1,1028.03,1038.2,1046.84,1018.18,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,45.6958,48.6308,0.4854,0.5146,0.8971,0.1029,0.0839,0.1107
M0027,2025-09-07,FoxBrush,PhoenixWing,4,0,1042.24,1028.67,1066.12,1006.61,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,49.7162,45.9126,0.5195,0.4805,1.0,0.0,0.1206,0.0859
M0028,2025-09-07,WizardRod,PhoenixRudder,4,2,1028.67,1028.4,1044.48,1012.63,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,45.9126,45.7767,0.5004,0.4996,0.8449,0.1551,0.0859,0.0847
M0029,2025-09-07,ImpactDrake,DranSword,4,2,1058.88,1046.84,1075.73,1031.02,Xtreme,Xtreme,exhibition,,,,34.9245,34.9245,51.4345,48.297,0.5173,0.4827,0.8449,0.1551,0.1576,0.1276
M0030,2025-09-07,FoxBrush,WizardRod,4,1,1066.12,1044.48,1085.37,1027.09,Xtreme,Xtreme,exhibition,,,,34.9245,34.9245,52.5908,47.5376,0.5311,0.4689,0.8971,0.1029,0.1686,0.1204
M0031,2025-09-07,ImpactDrake,FoxBrush,7,0,1075.73,1085.37,1111.11,1048.97,Xtreme,Xtreme,exhibition,,,,33.446,33.446,51.5314,53.0051,0.4861,0.5139,1.1729,-0.1729,0.1802,0.1949
M0032,2025-11-12,WeissTiger,ImpactDrake,3,4,1004.6,1111.11,997.83,1121.09,Xtreme,Xtreme,exhibition,,,,36.5049,32.0629,37.9251,55.8962,0.3513,0.6487,0.1729,0.8271,0.013,0.2478
M0033,2025-11-12,CobaltDragoon,WizardArc,5,3,1007.01,986.2,1019.26,972.51,Xtreme,Xtreme,exhibition,,,,36.5049,38.1942,38.8668,43.4633,0.5299,0.4701,0.8449,0.1551,0.0216,-0.046
M0034,2025-11-12,HellsChain,PhoenixWing,6,3,986.2,1006.61,1004.74,991.25,Xtreme,Xtreme,exhibition,,,,38.1942,34.9245,43.4633,36.0126,0.4707,0.5293,0.8971,0.1029,-0.046,0.0104
M0035,2025-11-12,UnicornSting,WizardRod,5,2,1018.18,1027.09,1034.26,1011.09,Xtreme,Xtreme,exhibition,,,,34.9245,33.446,39.2268,39.0181,0.4872,0.5128,0.8971,0.1029,0.0411,0.0555
M0036,2025-11-12,PhoenixRudder,SilverWolf,1,4,1012.63,986.91,996.23,1005.66,Xtreme,Xtreme,exhibition,,,,34.9245,38.1942,37.7995,43.1922,0.5369,0.4631,0.1029,0.8971,0.0274,-0.0436
