MatchID,round_number,winner,finish_type,points_awarded,notes
M0001,1,TriceraPress,burst,2,
M0001,2,TriceraPress,extreme,3,
M0002,1,HellsHammer,spin,1,
M0002,2,HellsHammer,pocket,2,
M0002,3,HellsHammer,spin,1,
M0003,1,LeonClaw,burst,2,
M0003,2,PhoenixRudder,pocket,2,
M0003,3,PhoenixRudder,spin,1,
M0003,4,PhoenixRudder,spin,1,
M0004,1,TyrannoBeat,spin,1,
M0004,2,TyrannoBeat,pocket,2,
M0004,3,DranBuster,spin,1,
M0004,4,TyrannoBeat,pocket,2,
M0005,1,HellsChain,spin,1,
M0005,2,HellsChain,spin,1,
M0005,3,HellsChain,spin,1,
M0005,4,KnightMail,spin,1,
M0005,5,HellsChain,spin,1,
M0006,1,WizardArc,pocket,2,
M0006,2,RhinoReaper,spin,1,
M0006,3,WizardArc,spin,1,
M0006,4,RhinoReaper,spin,1,
M0006,5,WizardArc,spin,1,
M0007,1,PerseusDark,pocket,2,
M0007,2,WyvernHover,pocket,2,
M0007,3,PerseusDark,pocket,2,
M0008,1,ViperTail,pocket,2,
M0008,2,DranBrave,pocket,2,
M0008,3,ViperTail,burst,2,
M0009,1,SilverWolf,spin,1,
M0009,2,SilverWolf,spin,1,
M0009,3,CerberusFlame,spin,1,
M0009,4,SilverWolf,spin,1,
M0009,5,SilverWolf,spin,1,
M0010,1,WeissTiger,extreme,3,
M0010,2,WeissTiger,pocket,2,
M0011,1,PhoenixWing,pocket,2,
M0011,2,PhoenixWing,burst,2,
M0012,1,FoxBrush,spin,1,
M0012,2,FoxBrush,pocket,2,
M0012,3,FoxBrush,pocket,2,
M0013,1,ValkyrieVolt,burst,2,
M0013,2,CobaltDragoon,pocket,2,
M0013,3,CobaltDragoon,spin,1,
M0013,4,ValkyrieVolt,pocket,2,
M0014,1,ImpactDrake,spin,1,
M0014,2,ImpactDrake,spin,1,
M0014,3,ImpactDrake,spin,1,
M0014,4,SharkScale,pocket,2,
M0014,5,SharkScale,pocket,2,
M0015,1,DranSword,extreme,3,
M0015,2,DranSword,spin,1,
M0016,1,HellsBrave,spin,1,
M0016,2,HellsBrave,spin,1,
M0016,3,HellsReaper,spin,1,
M0016,4,HellsReaper,pocket,2,
M0016,5,HellsReaper,pocket,2,
