MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-05-10,TuskMammoth,HellsBrave,4,0,season_cup,S2,,,Xtreme
M0002,2026-05-10,ImpactDrake,DranSword,2,4,season_cup,S2,,,Xtreme
M0003,2026-05-10,FoxBrush,SilverWolf,5,1,season_cup,S2,,,Xtreme
M0004,2026-05-10,ScorpioSpear,CobaltDragoon,1,4,season_cup,S2,,,Xtreme
M0005,2026-05-10,HellsBrave,ImpactDrake,4,2,season_cup,S2,,,Xtreme
M0006,2026-05-10,SilverWolf,ScorpioSpear,1,4,season_cup,S2,,,Xtreme
M0007,2026-05-10,TuskMammoth,DranSword,4,1,season_cup,S2,,,Xtreme
M0008,2026-05-10,FoxBrush,CobaltDragoon,4,2,season_cup,S2,,,Xtreme
M0009,2026-05-10,DranSword,ScorpioSpear,4,2,season_cup,S2,,,Xtreme
M0010,2026-05-10,CobaltDragoon,HellsBrave,4,0,season_cup,S2,,,Xtreme
M0011,2026-05-10,CobaltDragoon,DranSword,2,6,season_cup,S2,,,Xtreme
M0012,2026-05-10,TuskMammoth,FoxBrush,0,4,season_cup,S2,,,Xtreme
M0013,2026-05-10,SilverWolf,ImpactDrake,4,2,season_cup,S2,,,Xtreme
M0014,2026-05-10,HellsBrave,ScorpioSpear,4,0,season_cup,S2,,,Xtreme
M0015,2026-05-10,TuskMammoth,DranSword,4,0,season_cup,S2,,,Xtreme
M0016,2026-05-10,FoxBrush,TuskMammoth,5,7,season_cup,S2,,,Xtreme
M0017,2026-05-10,TuskMammoth,FoxBrush,2,8,season_cup,S2,,,Xtreme
M0018,2026-05-10,DranDagger,CobaltDrake,6,2,qualification,S2,,,DoubleXtreme
M0019,2026-05-10,WhaleFlame,TyrannoBeat,0,4,qualification,S2,,,DoubleXtreme
M0020,2026-05-10,TyrannoRoar,PhoenixFlare,4,3,qualification,S2,,,DoubleXtreme
M0021,2026-05-10,ClockMirage,CrimsonGaruda,5,0,qualification,S2,,,DoubleXtreme
M0022,2026-05-10,WhaleWave,UnicornSting,4,2,qualification,S2,,,DoubleXtreme
M0023,2026-05-10,BlackShell,GhostCircle,4,0,qualification,S2,,,DoubleXtreme
M0024,2026-05-10,TriceraPress,DranBuster,5,0,qualification,S2,,,DoubleXtreme
M0025,2026-05-10,SamuraiCalibur,SamuraiSteel,0,4,qualification,S2,,,DoubleXtreme
M0026,2026-05-10,WolfHunt,SolEclipse,4,3,qualification,S2,,,DoubleXtreme
M0027,2026-05-10,PegasusBlast,DranDagger,0,4,qualification,S2,,,DoubleXtreme
M0028,2026-05-10,TyrannoBeat,TyrannoRoar,4,0,qualification,S2,,,DoubleXtreme
M0029,2026-05-10,WizardRod,ClockMirage,2,4,qualification,S2,,,DoubleXtreme
M0030,2026-05-10,MeteorDragoon,WhaleWave,4,0,qualification,S2,,,DoubleXtreme
M0031,2026-05-10,SamuraiSaber,BlackShell,5,2,qualification,S2,,,DoubleXtreme
M0032,2026-05-10,ShelterDrake,TriceraPress,0,4,qualification,S2,,,DoubleXtreme
M0033,2026-05-10,EmperorMight,SamuraiSteel,0,4,qualification,S2,,,DoubleXtreme
M0034,2026-05-10,WizardArrow,WolfHunt,2,5,qualification,S2,,,DoubleXtreme
M0035,2026-05-10,DranDagger,TyrannoRoar,5,0,qualification,S2,,,DoubleXtreme
M0036,2026-05-10,ClockMirage,MeteorDragoon,3,4,qualification,S2,,,DoubleXtreme
M0037,2026-05-10,SamuraiSaber,TriceraPress,0,4,qualification,S2,,,DoubleXtreme
M0038,2026-05-10,SamuraiSteel,WolfHunt,0,4,qualification,S2,,,DoubleXtreme
M0039,2026-05-10,DranDagger,MeteorDragoon,4,3,qualification,S2,,,DoubleXtreme
M0040,2026-05-10,TriceraPress,WolfHunt,4,3,qualification,S2,,,DoubleXtreme
M0041,2026-05-10,MeteorDragoon,WolfHunt,2,4,qualification,S2,,,DoubleXtreme
M0042,2026-05-10,DranDagger,TriceraPress,6,7,qualification,S2,,,DoubleXtreme
